id,archivo,titular,fuente,fecha,url,cuerpo_completo,motivo_cuerpo,palabras_cuerpo,relevancia_prefiltro,motivo_prefiltro,tema_principal,tema_secundaria,ambito,tipo,horizonte,a_quien_afecta,por_que
1,noticias/20260923_001_vecinos-del-perchel-denuncian-un-solar-abandonado-convertido.md,"Vecinos del Perchel denuncian un solar abandonado convertido en un foco de basura, vegetación y ratas",laopiniondemalaga.es (descubierta),2026-09-23 08:09,https://www.laopiniondemalaga.es/videos/malaga/2026/09/23/vecinos-perchel-denuncian-solar-abandonado-134582850.html,no,La página no expone el texto del artículo en HTML plano.,0,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Queja vecinal puntual sobre un solar; no cambia decisiones de la Agencia
2,noticias/20260923_002_marwan-en-declaraciones-a-sarah-santaolla-durante-la-protest.md,"Marwán, en declaraciones a Sarah Santaolla durante la protesta por Maricarmen: ""Estamos para defender a todos los vecinos de Madrid""",elplural.com (descubierta),2026-09-23 10:05,https://www.elplural.com/revista-bando/musica/marwan-declaraciones-sarah-santaolla-durante-protesta-maricarmen-estamos-defender-todos-vecinos-madrid_401010102,si,,272,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Necesidades sociales y de vivienda,Políticas de vivienda,local,social,inmediato,Área social / relaciones institucionales,Caso mediático de desahucio que alimenta el debate público sobre vivienda
3,noticias/20260923_003_iberdrola-busca-un-socio-para-seguir-impulsando-east-anglia-.md,Iberdrola busca un socio para seguir impulsando East Anglia Two: pondrá a la venta hasta el 49% por 5.000 millones,elplural.com (descubierta),2026-09-23 09:58,https://www.elplural.com/economia/empresas/iberdrola-busca-socio-seguir-impulsando-east-anglia-two-pondra-venta-hasta-49-5000-millones_401008102,si,,615,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.,FUERA DE ÁMBITO,,,,,,Venta de participación en un parque eólico marino en Reino Unido; sin relación con vivienda
4,noticias/20260923_004_atream-desembarca-en-espana-con-la-adquisicion-de-un-hotel-d.md,Atream desembarca en España con la adquisición de un hotel de 4 estrellas en Alicante,Brains Real Estate News,2026-09-23 07:55,https://brainsre.news/atream-desembarca-espana-con-hotel-alicante/,si,,673,dudosa,Toca el ámbito de refilón: hay que leerla para decidir.,FUERA DE ÁMBITO,,,,,,"Adquisición de un hotel turístico en Alicante; mercado hotelero, no vivienda"
5,noticias/20260923_005_carlos-bardem-cita-a-lorca-ante-el-desahucio-de-maricarmen-e.md,"Carlos Bardem cita a Lorca ante el desahucio de Maricarmen: ""El derecho al pan, a una casa y a las rosas""",elplural.com (descubierta),2026-09-23 09:55,https://www.elplural.com/revista-bando/cine/carlos-bardem-cita-lorca-desahucio-maricarmen-derecho-pan-casa-rosas_401006102,si,,329,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Necesidades sociales y de vivienda,Políticas de vivienda,local,social,inmediato,Área social / relaciones institucionales,"Mismo caso de desahucio mediático (Maricarmen), con respaldo de figuras públicas"
6,noticias/20260923_006_isabel-rodriguez-asegura-que-el-gobierno-ha-acompanado-la-pe.md,"Isabel Rodríguez asegura que el Gobierno ha ""acompañado"" la petición para paralizar el desahucio de Maricarmen",elplural.com (descubierta),2026-09-23 09:53,https://www.elplural.com/politica/espana/isabel-rodriguez-asegura-gobierno-ha-acompanado-peticion-paralizar-desahucio-maricarmen_401007102,si,,241,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Políticas de vivienda,Necesidades sociales y de vivienda,estatal,social,inmediato,Dirección / relaciones institucionales,La ministra de Vivienda posiciona al Gobierno central en un caso de desahucio
7,noticias/20260923_007_el-desahucio-de-maricarmen-llega-al-congreso-ustedes-con-los.md,"El desahucio de Maricarmen llega al Congreso: ""Ustedes con los especuladores, nosotros con ella""",elplural.com (descubierta),2026-09-23 09:51,https://www.elplural.com/politica/espana/desahucio-maricarmen-llega-congreso-ustedes-especuladores-nosotros-ella_401005102,si,,677,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Políticas de vivienda,Necesidades sociales y de vivienda,estatal,social,inmediato,Dirección / relaciones institucionales,Debate parlamentario sobre vivienda y especulación a raíz de un desahucio
8,noticias/20260923_008_la-rentabilidad-de-una-vivienda-compartida-es-de-un-7-2-fren.md,"La rentabilidad de una vivienda compartida es de un 7,2% frente al 5,4% del alquiler tradicional",Fotocasa Research,2026-09-23 07:50,https://www.fotocasa.es/fotocasa-life/compartir-piso/rentabilidad-vivienda-compartida-72-frente-54-alquiler-tradicional/,si,,886,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Mercados y economía,,estatal,mercado,inmediato,Área de estudios,Dato de mercado: rentabilidad del alquiler por habitaciones frente al tradicional
9,noticias/20260923_009_genivs-insulae-se-adjudica-543-viviendas-en-zaragoza-y-proye.md,GENIVS Insulae se adjudica 543 viviendas en Zaragoza y proyecta 3.000 alquileres asequibles,elplural.com (descubierta),2026-09-23 09:49,https://www.elplural.com/economia/genivs-insulae-adjudica-viviendas-zaragoza-proyecta-alquileres-asequibles_401004102,si,,1029,alta,El ámbito de la Agencia aparece en el titular o de forma repetida.,Proyectos e innovación técnica,Financiación pública,autonómico,proyecto,medio,Dirección de planificación / financiación,Modelo de colaboración público-privada sobre suelo público replicable en Andalucía
10,noticias/20260923_010_los-futbolistas-carvajal-y-sarabia-facilitan-la-compra-de-in.md,Los futbolistas Carvajal y Sarabia facilitan la compra de inmuebles con fondos procedentes de criptoactivos,Brains Real Estate News,2026-09-23 07:37,https://brainsre.news/carvajal-sarabia-facilitan-comprar-inmuebles-cripto/,si,,703,fuera,No aparece el ámbito de la Agencia; candidata a descarte.,FUERA DE ÁMBITO,,,,,,Servicio de conversión de criptoactivos para comprar inmuebles; no es política de vivienda
