fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2024-12-31,2024,diciembre,T4,España,Total Nacional. Vivienda segunda mano. Número,13828.0,Finca
2024-12-31,2024,diciembre,T4,España,Total Nacional. Vivienda nueva. Número,1155.0,Finca
2024-12-31,2024,diciembre,T4,España,Total Nacional. General. Número,14983.0,Finca
2024-12-31,2024,diciembre,T4,Andalucía,Vivienda segunda mano. Número,3260.0,Vivienda
2024-12-31,2024,diciembre,T4,Andalucía,Vivienda nueva. Número,302.0,Vivienda
2024-12-31,2024,diciembre,T4,Andalucía,General. Número,3562.0,Vivienda
2023-12-31,2023,diciembre,T4,España,Total Nacional. Vivienda segunda mano. Número,11489.0,Finca
2023-12-31,2023,diciembre,T4,España,Total Nacional. Vivienda nueva. Número,1228.0,Finca
2023-12-31,2023,diciembre,T4,España,Total Nacional. General. Número,12717.0,Finca
2023-12-31,2023,diciembre,T4,Andalucía,Vivienda segunda mano. Número,2331.0,Vivienda
2023-12-31,2023,diciembre,T4,Andalucía,Vivienda nueva. Número,363.0,Vivienda
2023-12-31,2023,diciembre,T4,Andalucía,General. Número,2694.0,Vivienda
2022-12-31,2022,diciembre,T4,España,Total Nacional. Vivienda segunda mano. Número,11945.0,Finca
2022-12-31,2022,diciembre,T4,España,Total Nacional. Vivienda nueva. Número,1206.0,Finca
2022-12-31,2022,diciembre,T4,España,Total Nacional. General. Número,13151.0,Finca
2022-12-31,2022,diciembre,T4,Andalucía,Vivienda segunda mano. Número,2989.0,Vivienda
2022-12-31,2022,diciembre,T4,Andalucía,Vivienda nueva. Número,450.0,Vivienda
2022-12-31,2022,diciembre,T4,Andalucía,General. Número,3439.0,Vivienda
2021-12-31,2021,diciembre,T4,España,Total Nacional. Vivienda segunda mano. Número,15029.0,Finca
2021-12-31,2021,diciembre,T4,España,Total Nacional. Vivienda nueva. Número,2103.0,Finca
2021-12-31,2021,diciembre,T4,España,Total Nacional. General. Número,17132.0,Finca
2021-12-31,2021,diciembre,T4,Andalucía,Vivienda segunda mano. Número,3511.0,Vivienda
2021-12-31,2021,diciembre,T4,Andalucía,Vivienda nueva. Número,993.0,Vivienda
2021-12-31,2021,diciembre,T4,Andalucía,General. Número,4504.0,Vivienda
2020-12-31,2020,diciembre,T4,España,Total Nacional. Vivienda segunda mano. Número,18219.0,Finca
2020-12-31,2020,diciembre,T4,España,Total Nacional. Vivienda nueva. Número,2475.0,Finca
2020-12-31,2020,diciembre,T4,España,Total Nacional. General. Número,20694.0,Finca
2020-12-31,2020,diciembre,T4,Andalucía,Vivienda segunda mano. Número,3745.0,Vivienda
2020-12-31,2020,diciembre,T4,Andalucía,Vivienda nueva. Número,1012.0,Vivienda
2020-12-31,2020,diciembre,T4,Andalucía,General. Número,4757.0,Vivienda
2019-12-31,2019,diciembre,T4,España,Total Nacional. Vivienda segunda mano. Número,15815.0,Finca
2019-12-31,2019,diciembre,T4,España,Total Nacional. Vivienda nueva. Número,3105.0,Finca
2019-12-31,2019,diciembre,T4,España,Total Nacional. General. Número,18920.0,Finca
2019-12-31,2019,diciembre,T4,Andalucía,Vivienda segunda mano. Número,2794.0,Vivienda
2019-12-31,2019,diciembre,T4,Andalucía,Vivienda nueva. Número,859.0,Vivienda
2019-12-31,2019,diciembre,T4,Andalucía,General. Número,3653.0,Vivienda
2018-12-31,2018,diciembre,T4,España,Total Nacional. Vivienda segunda mano. Número,21057.0,Finca
2018-12-31,2018,diciembre,T4,España,Total Nacional. Vivienda nueva. Número,6431.0,Finca
2018-12-31,2018,diciembre,T4,España,Total Nacional. General. Número,27488.0,Finca
2018-12-31,2018,diciembre,T4,Andalucía,Vivienda segunda mano. Número,3754.0,Vivienda
2018-12-31,2018,diciembre,T4,Andalucía,Vivienda nueva. Número,2094.0,Vivienda
2018-12-31,2018,diciembre,T4,Andalucía,General. Número,5848.0,Vivienda
2017-12-31,2017,diciembre,T4,España,Total Nacional. Vivienda segunda mano. Número,20932.0,Finca
2017-12-31,2017,diciembre,T4,España,Total Nacional. Vivienda nueva. Número,5315.0,Finca
2017-12-31,2017,diciembre,T4,España,Total Nacional. General. Número,26247.0,Finca
2017-12-31,2017,diciembre,T4,Andalucía,Vivienda segunda mano. Número,3826.0,Vivienda
2017-12-31,2017,diciembre,T4,Andalucía,Vivienda nueva. Número,1378.0,Vivienda
2017-12-31,2017,diciembre,T4,Andalucía,General. Número,5204.0,Vivienda
