fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2024-12-31,2024,diciembre,T4,España,Total Nacional. Total. Número,14983.0,Finca
2024-12-31,2024,diciembre,T4,España,Total Nacional. Persona jurídica. Número,1905.0,Finca
2024-12-31,2024,diciembre,T4,España,Total Nacional. Persona física. Número,13078.0,Finca
2024-12-31,2024,diciembre,T4,Andalucía,Total. Número,3562.0,Finca
2024-12-31,2024,diciembre,T4,Andalucía,Persona jurídica. Número,382.0,Finca
2024-12-31,2024,diciembre,T4,Andalucía,Persona física. Número,3180.0,Finca
2023-12-31,2023,diciembre,T4,España,Total Nacional. Total. Número,12717.0,Finca
2023-12-31,2023,diciembre,T4,España,Total Nacional. Persona jurídica. Número,1981.0,Finca
2023-12-31,2023,diciembre,T4,España,Total Nacional. Persona física. Número,10736.0,Finca
2023-12-31,2023,diciembre,T4,Andalucía,Total. Número,2694.0,Finca
2023-12-31,2023,diciembre,T4,Andalucía,Persona jurídica. Número,428.0,Finca
2023-12-31,2023,diciembre,T4,Andalucía,Persona física. Número,2266.0,Finca
2022-12-31,2022,diciembre,T4,España,Total Nacional. Total. Número,13151.0,Finca
2022-12-31,2022,diciembre,T4,España,Total Nacional. Persona jurídica. Número,1782.0,Finca
2022-12-31,2022,diciembre,T4,España,Total Nacional. Persona física. Número,11369.0,Finca
2022-12-31,2022,diciembre,T4,Andalucía,Total. Número,3439.0,Finca
2022-12-31,2022,diciembre,T4,Andalucía,Persona jurídica. Número,576.0,Finca
2022-12-31,2022,diciembre,T4,Andalucía,Persona física. Número,2863.0,Finca
2021-12-31,2021,diciembre,T4,España,Total Nacional. Total. Número,17132.0,Finca
2021-12-31,2021,diciembre,T4,España,Total Nacional. Persona jurídica. Número,2789.0,Finca
2021-12-31,2021,diciembre,T4,España,Total Nacional. Persona física. Número,14343.0,Finca
2021-12-31,2021,diciembre,T4,Andalucía,Total. Número,4504.0,Finca
2021-12-31,2021,diciembre,T4,Andalucía,Persona jurídica. Número,759.0,Finca
2021-12-31,2021,diciembre,T4,Andalucía,Persona física. Número,3745.0,Finca
2020-12-31,2020,diciembre,T4,España,Total Nacional. Total. Número,20694.0,Finca
2020-12-31,2020,diciembre,T4,España,Total Nacional. Persona jurídica. Número,5556.0,Finca
2020-12-31,2020,diciembre,T4,España,Total Nacional. Persona física. Número,15138.0,Finca
2020-12-31,2020,diciembre,T4,Andalucía,Total. Número,4757.0,Finca
2020-12-31,2020,diciembre,T4,Andalucía,Persona jurídica. Número,1083.0,Finca
2020-12-31,2020,diciembre,T4,Andalucía,Persona física. Número,3674.0,Finca
2019-12-31,2019,diciembre,T4,España,Total Nacional. Total. Número,18920.0,Finca
2019-12-31,2019,diciembre,T4,España,Total Nacional. Persona jurídica. Número,9228.0,Finca
2019-12-31,2019,diciembre,T4,España,Total Nacional. Persona física. Número,9692.0,Finca
2019-12-31,2019,diciembre,T4,Andalucía,Total. Número,3653.0,Finca
2019-12-31,2019,diciembre,T4,Andalucía,Persona jurídica. Número,1640.0,Finca
2019-12-31,2019,diciembre,T4,Andalucía,Persona física. Número,2013.0,Finca
2018-12-31,2018,diciembre,T4,España,Total Nacional. Total. Número,27488.0,Finca
2018-12-31,2018,diciembre,T4,España,Total Nacional. Persona jurídica. Número,20106.0,Finca
2018-12-31,2018,diciembre,T4,España,Total Nacional. Persona física. Número,7382.0,Finca
2018-12-31,2018,diciembre,T4,Andalucía,Total. Número,5848.0,Finca
2018-12-31,2018,diciembre,T4,Andalucía,Persona jurídica. Número,4046.0,Finca
2018-12-31,2018,diciembre,T4,Andalucía,Persona física. Número,1802.0,Finca
2017-12-31,2017,diciembre,T4,España,Total Nacional. Total. Número,26247.0,Finca
2017-12-31,2017,diciembre,T4,España,Total Nacional. Persona jurídica. Número,17206.0,Finca
2017-12-31,2017,diciembre,T4,España,Total Nacional. Persona física. Número,9041.0,Finca
2017-12-31,2017,diciembre,T4,Andalucía,Total. Número,5204.0,Finca
2017-12-31,2017,diciembre,T4,Andalucía,Persona jurídica. Número,2691.0,Finca
2017-12-31,2017,diciembre,T4,Andalucía,Persona física. Número,2513.0,Finca
