fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-05-31,2026,mayo,T2,España,Número. Total Nacional. Total fincas,206138.0,Finca
2026-05-31,2026,mayo,T2,España,Número. Total Nacional. Fincas urbanas: viviendas,96984.0,Finca
2026-05-31,2026,mayo,T2,España,Número. Total Nacional. Fincas urbanas: solares,8552.0,Finca
2026-05-31,2026,mayo,T2,España,Número. Total Nacional. Fincas urbanas: Otras urbanas,60889.0,Finca
2026-05-31,2026,mayo,T2,España,Número. Total Nacional. Fincas Urbanas: Total,166425.0,Finca
2026-05-31,2026,mayo,T2,España,Número. Total Nacional. Fincas Rústicas,39713.0,Finca
2026-05-31,2026,mayo,T2,Andalucía,Número. Total fincas,36590.0,Finca
2026-05-31,2026,mayo,T2,Andalucía,Número. Fincas urbanas: viviendas,19204.0,Finca
2026-05-31,2026,mayo,T2,Andalucía,Número. Fincas urbanas: solares,1701.0,Finca
2026-05-31,2026,mayo,T2,Andalucía,Número. Fincas urbanas: Otras urbanas,10196.0,Finca
2026-05-31,2026,mayo,T2,Andalucía,Número. Fincas Urbanas: Total,31101.0,Finca
2026-05-31,2026,mayo,T2,Andalucía,Número. Fincas Rústicas,5489.0,Finca
2026-04-30,2026,abril,T2,España,Número. Total Nacional. Total fincas,200172.0,Finca
2026-04-30,2026,abril,T2,España,Número. Total Nacional. Fincas urbanas: viviendas,92800.0,Finca
2026-04-30,2026,abril,T2,España,Número. Total Nacional. Fincas urbanas: solares,9375.0,Finca
2026-04-30,2026,abril,T2,España,Número. Total Nacional. Fincas urbanas: Otras urbanas,58250.0,Finca
2026-04-30,2026,abril,T2,España,Número. Total Nacional. Fincas Urbanas: Total,160425.0,Finca
2026-04-30,2026,abril,T2,España,Número. Total Nacional. Fincas Rústicas,39747.0,Finca
2026-04-30,2026,abril,T2,Andalucía,Número. Total fincas,34517.0,Finca
2026-04-30,2026,abril,T2,Andalucía,Número. Fincas urbanas: viviendas,18025.0,Finca
2026-04-30,2026,abril,T2,Andalucía,Número. Fincas urbanas: solares,1918.0,Finca
2026-04-30,2026,abril,T2,Andalucía,Número. Fincas urbanas: Otras urbanas,9102.0,Finca
2026-04-30,2026,abril,T2,Andalucía,Número. Fincas Urbanas: Total,29045.0,Finca
2026-04-30,2026,abril,T2,Andalucía,Número. Fincas Rústicas,5472.0,Finca
2026-03-31,2026,marzo,T1,España,Número. Total Nacional. Total fincas,188475.0,Finca
2026-03-31,2026,marzo,T1,España,Número. Total Nacional. Fincas urbanas: viviendas,87573.0,Finca
2026-03-31,2026,marzo,T1,España,Número. Total Nacional. Fincas urbanas: solares,7434.0,Finca
2026-03-31,2026,marzo,T1,España,Número. Total Nacional. Fincas urbanas: Otras urbanas,56667.0,Finca
2026-03-31,2026,marzo,T1,España,Número. Total Nacional. Fincas Urbanas: Total,151674.0,Finca
2026-03-31,2026,marzo,T1,España,Número. Total Nacional. Fincas Rústicas,36801.0,Finca
2026-03-31,2026,marzo,T1,Andalucía,Número. Total fincas,32002.0,Finca
2026-03-31,2026,marzo,T1,Andalucía,Número. Fincas urbanas: viviendas,16856.0,Finca
2026-03-31,2026,marzo,T1,Andalucía,Número. Fincas urbanas: solares,1369.0,Finca
2026-03-31,2026,marzo,T1,Andalucía,Número. Fincas urbanas: Otras urbanas,9010.0,Finca
2026-03-31,2026,marzo,T1,Andalucía,Número. Fincas Urbanas: Total,27235.0,Finca
