fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-05-31,2026,mayo,T2,España,Total Nacional. Total. Fincas Urbanas: Total. Número,166425.0,Finca
2026-05-31,2026,mayo,T2,España,Total Nacional. Permuta. Fincas Urbanas: Total. Número,344.0,Finca
2026-05-31,2026,mayo,T2,España,Total Nacional. Otros. Fincas Urbanas: Total. Número,30773.0,Finca
2026-05-31,2026,mayo,T2,España,Total Nacional. Herencia. Fincas Urbanas: Total. Número,30398.0,Finca
2026-05-31,2026,mayo,T2,España,Total Nacional. Donación. Fincas Urbanas: Total. Número,3598.0,Finca
2026-05-31,2026,mayo,T2,España,Total Nacional. Compraventa. Fincas Urbanas: Total. Número,101312.0,Finca
2026-05-31,2026,mayo,T2,Andalucía,Total. Fincas Urbanas: Total. Número,31101.0,Finca
2026-05-31,2026,mayo,T2,Andalucía,Permuta. Fincas Urbanas: Total. Número,42.0,Finca
2026-05-31,2026,mayo,T2,Andalucía,Otros. Fincas Urbanas: Total. Número,5510.0,Finca
2026-05-31,2026,mayo,T2,Andalucía,Herencia. Fincas Urbanas: Total. Número,4812.0,Finca
2026-05-31,2026,mayo,T2,Andalucía,Donación. Fincas Urbanas: Total. Número,550.0,Finca
2026-05-31,2026,mayo,T2,Andalucía,Compraventa. Fincas Urbanas: Total. Número,20187.0,Finca
2026-04-30,2026,abril,T2,España,Total Nacional. Total. Fincas Urbanas: Total. Número,160425.0,Finca
2026-04-30,2026,abril,T2,España,Total Nacional. Permuta. Fincas Urbanas: Total. Número,291.0,Finca
2026-04-30,2026,abril,T2,España,Total Nacional. Otros. Fincas Urbanas: Total. Número,31392.0,Finca
2026-04-30,2026,abril,T2,España,Total Nacional. Herencia. Fincas Urbanas: Total. Número,28373.0,Finca
2026-04-30,2026,abril,T2,España,Total Nacional. Donación. Fincas Urbanas: Total. Número,3709.0,Finca
2026-04-30,2026,abril,T2,España,Total Nacional. Compraventa. Fincas Urbanas: Total. Número,96660.0,Finca
2026-04-30,2026,abril,T2,Andalucía,Total. Fincas Urbanas: Total. Número,29045.0,Finca
2026-04-30,2026,abril,T2,Andalucía,Permuta. Fincas Urbanas: Total. Número,44.0,Finca
2026-04-30,2026,abril,T2,Andalucía,Otros. Fincas Urbanas: Total. Número,5245.0,Finca
2026-04-30,2026,abril,T2,Andalucía,Herencia. Fincas Urbanas: Total. Número,4227.0,Finca
2026-04-30,2026,abril,T2,Andalucía,Donación. Fincas Urbanas: Total. Número,789.0,Finca
2026-04-30,2026,abril,T2,Andalucía,Compraventa. Fincas Urbanas: Total. Número,18740.0,Finca
2026-03-31,2026,marzo,T1,España,Total Nacional. Total. Fincas Urbanas: Total. Número,151674.0,Finca
2026-03-31,2026,marzo,T1,España,Total Nacional. Permuta. Fincas Urbanas: Total. Número,232.0,Finca
2026-03-31,2026,marzo,T1,España,Total Nacional. Otros. Fincas Urbanas: Total. Número,27851.0,Finca
2026-03-31,2026,marzo,T1,España,Total Nacional. Herencia. Fincas Urbanas: Total. Número,27253.0,Finca
2026-03-31,2026,marzo,T1,España,Total Nacional. Donación. Fincas Urbanas: Total. Número,3368.0,Finca
2026-03-31,2026,marzo,T1,España,Total Nacional. Compraventa. Fincas Urbanas: Total. Número,92970.0,Finca
2026-03-31,2026,marzo,T1,Andalucía,Total. Fincas Urbanas: Total. Número,27235.0,Finca
2026-03-31,2026,marzo,T1,Andalucía,Permuta. Fincas Urbanas: Total. Número,42.0,Finca
2026-03-31,2026,marzo,T1,Andalucía,Otros. Fincas Urbanas: Total. Número,5005.0,Finca
2026-03-31,2026,marzo,T1,Andalucía,Herencia. Fincas Urbanas: Total. Número,4137.0,Finca
2026-03-31,2026,marzo,T1,Andalucía,Donación. Fincas Urbanas: Total. Número,553.0,Finca
2026-03-31,2026,marzo,T1,Andalucía,Compraventa. Fincas Urbanas: Total. Número,17498.0,Finca
2026-02-28,2026,febrero,T1,España,Total Nacional. Total. Fincas Urbanas: Total. Número,175179.0,Finca
2026-02-28,2026,febrero,T1,España,Total Nacional. Permuta. Fincas Urbanas: Total. Número,296.0,Finca
2026-02-28,2026,febrero,T1,España,Total Nacional. Otros. Fincas Urbanas: Total. Número,33223.0,Finca
2026-02-28,2026,febrero,T1,España,Total Nacional. Herencia. Fincas Urbanas: Total. Número,30960.0,Finca
2026-02-28,2026,febrero,T1,España,Total Nacional. Donación. Fincas Urbanas: Total. Número,4128.0,Finca
2026-02-28,2026,febrero,T1,España,Total Nacional. Compraventa. Fincas Urbanas: Total. Número,106572.0,Finca
2026-02-28,2026,febrero,T1,Andalucía,Total. Fincas Urbanas: Total. Número,32045.0,Finca
2026-02-28,2026,febrero,T1,Andalucía,Permuta. Fincas Urbanas: Total. Número,43.0,Finca
2026-02-28,2026,febrero,T1,Andalucía,Otros. Fincas Urbanas: Total. Número,6012.0,Finca
2026-02-28,2026,febrero,T1,Andalucía,Herencia. Fincas Urbanas: Total. Número,4687.0,Finca
2026-02-28,2026,febrero,T1,Andalucía,Donación. Fincas Urbanas: Total. Número,690.0,Finca
2026-02-28,2026,febrero,T1,Andalucía,Compraventa. Fincas Urbanas: Total. Número,20613.0,Finca
2026-01-31,2026,enero,T1,España,Total Nacional. Total. Fincas Urbanas: Total. Número,161350.0,Finca
2026-01-31,2026,enero,T1,España,Total Nacional. Permuta. Fincas Urbanas: Total. Número,257.0,Finca
2026-01-31,2026,enero,T1,España,Total Nacional. Otros. Fincas Urbanas: Total. Número,27728.0,Finca
2026-01-31,2026,enero,T1,España,Total Nacional. Herencia. Fincas Urbanas: Total. Número,26477.0,Finca
