fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-05-31,2026,mayo,T2,España,Total Nacional. Total. Total viviendas. Número,96984.0,Vivienda
2026-05-31,2026,mayo,T2,España,Total Nacional. Permuta. Total viviendas. Número,128.0,Vivienda
2026-05-31,2026,mayo,T2,España,Total Nacional. Otros. Total viviendas. Número,16386.0,Vivienda
2026-05-31,2026,mayo,T2,España,Total Nacional. Herencia. Total viviendas. Número,19107.0,Vivienda
2026-05-31,2026,mayo,T2,España,Total Nacional. Donación. Total viviendas. Número,2075.0,Vivienda
2026-05-31,2026,mayo,T2,España,Total Nacional. Compraventa. Total viviendas. Número,59288.0,Vivienda
2026-05-31,2026,mayo,T2,Andalucía,Total. Total viviendas. Número,19204.0,Vivienda
2026-05-31,2026,mayo,T2,Andalucía,Permuta. Total viviendas. Número,17.0,Vivienda
2026-05-31,2026,mayo,T2,Andalucía,Otros. Total viviendas. Número,3280.0,Vivienda
2026-05-31,2026,mayo,T2,Andalucía,Herencia. Total viviendas. Número,3464.0,Vivienda
2026-05-31,2026,mayo,T2,Andalucía,Donación. Total viviendas. Número,332.0,Vivienda
2026-05-31,2026,mayo,T2,Andalucía,Compraventa. Total viviendas. Número,12111.0,Vivienda
2026-04-30,2026,abril,T2,España,Total Nacional. Total. Total viviendas. Número,92800.0,Vivienda
2026-04-30,2026,abril,T2,España,Total Nacional. Permuta. Total viviendas. Número,98.0,Vivienda
2026-04-30,2026,abril,T2,España,Total Nacional. Otros. Total viviendas. Número,16202.0,Vivienda
2026-04-30,2026,abril,T2,España,Total Nacional. Herencia. Total viviendas. Número,17938.0,Vivienda
2026-04-30,2026,abril,T2,España,Total Nacional. Donación. Total viviendas. Número,2100.0,Vivienda
2026-04-30,2026,abril,T2,España,Total Nacional. Compraventa. Total viviendas. Número,56462.0,Vivienda
2026-04-30,2026,abril,T2,Andalucía,Total. Total viviendas. Número,18025.0,Vivienda
2026-04-30,2026,abril,T2,Andalucía,Permuta. Total viviendas. Número,11.0,Vivienda
2026-04-30,2026,abril,T2,Andalucía,Otros. Total viviendas. Número,2887.0,Vivienda
2026-04-30,2026,abril,T2,Andalucía,Herencia. Total viviendas. Número,2967.0,Vivienda
2026-04-30,2026,abril,T2,Andalucía,Donación. Total viviendas. Número,437.0,Vivienda
2026-04-30,2026,abril,T2,Andalucía,Compraventa. Total viviendas. Número,11723.0,Vivienda
2026-03-31,2026,marzo,T1,España,Total Nacional. Total. Total viviendas. Número,87573.0,Vivienda
2026-03-31,2026,marzo,T1,España,Total Nacional. Permuta. Total viviendas. Número,93.0,Vivienda
2026-03-31,2026,marzo,T1,España,Total Nacional. Otros. Total viviendas. Número,15166.0,Vivienda
2026-03-31,2026,marzo,T1,España,Total Nacional. Herencia. Total viviendas. Número,17184.0,Vivienda
2026-03-31,2026,marzo,T1,España,Total Nacional. Donación. Total viviendas. Número,1889.0,Vivienda
2026-03-31,2026,marzo,T1,España,Total Nacional. Compraventa. Total viviendas. Número,53241.0,Vivienda
2026-03-31,2026,marzo,T1,Andalucía,Total. Total viviendas. Número,16856.0,Vivienda
2026-03-31,2026,marzo,T1,Andalucía,Permuta. Total viviendas. Número,19.0,Vivienda
2026-03-31,2026,marzo,T1,Andalucía,Otros. Total viviendas. Número,2806.0,Vivienda
2026-03-31,2026,marzo,T1,Andalucía,Herencia. Total viviendas. Número,2995.0,Vivienda
2026-03-31,2026,marzo,T1,Andalucía,Donación. Total viviendas. Número,375.0,Vivienda
2026-03-31,2026,marzo,T1,Andalucía,Compraventa. Total viviendas. Número,10661.0,Vivienda
2026-02-28,2026,febrero,T1,España,Total Nacional. Total. Total viviendas. Número,100972.0,Vivienda
2026-02-28,2026,febrero,T1,España,Total Nacional. Permuta. Total viviendas. Número,82.0,Vivienda
2026-02-28,2026,febrero,T1,España,Total Nacional. Otros. Total viviendas. Número,17748.0,Vivienda
