fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-05-31,2026,mayo,T2,España,Total Nacional. Vivienda segunda mano. Compraventa. Número,46522.0,Vivienda
2026-05-31,2026,mayo,T2,España,Total Nacional. Vivienda protegida. Compraventa. Número,3679.0,Vivienda
2026-05-31,2026,mayo,T2,España,Total Nacional. Vivienda nueva. Compraventa. Número,12766.0,Vivienda
2026-05-31,2026,mayo,T2,España,Total Nacional. Vivienda libre. Compraventa. Número,55609.0,Vivienda
2026-05-31,2026,mayo,T2,España,Total Nacional. General. Compraventa. Número,59288.0,Vivienda
2026-05-31,2026,mayo,T2,Andalucía,Vivienda segunda mano. Compraventa. Número,8854.0,Vivienda
2026-05-31,2026,mayo,T2,Andalucía,Vivienda protegida. Compraventa. Número,872.0,Vivienda
2026-05-31,2026,mayo,T2,Andalucía,Vivienda nueva. Compraventa. Número,3257.0,Vivienda
2026-05-31,2026,mayo,T2,Andalucía,Vivienda libre. Compraventa. Número,11239.0,Vivienda
2026-05-31,2026,mayo,T2,Andalucía,General. Compraventa. Número,12111.0,Vivienda
2026-04-30,2026,abril,T2,España,Total Nacional. Vivienda segunda mano. Compraventa. Número,44574.0,Vivienda
2026-04-30,2026,abril,T2,España,Total Nacional. Vivienda protegida. Compraventa. Número,3631.0,Vivienda
2026-04-30,2026,abril,T2,España,Total Nacional. Vivienda nueva. Compraventa. Número,11888.0,Vivienda
2026-04-30,2026,abril,T2,España,Total Nacional. Vivienda libre. Compraventa. Número,52831.0,Vivienda
2026-04-30,2026,abril,T2,España,Total Nacional. General. Compraventa. Número,56462.0,Vivienda
2026-04-30,2026,abril,T2,Andalucía,Vivienda segunda mano. Compraventa. Número,8746.0,Vivienda
2026-04-30,2026,abril,T2,Andalucía,Vivienda protegida. Compraventa. Número,1054.0,Vivienda
2026-04-30,2026,abril,T2,Andalucía,Vivienda nueva. Compraventa. Número,2977.0,Vivienda
2026-04-30,2026,abril,T2,Andalucía,Vivienda libre. Compraventa. Número,10669.0,Vivienda
2026-04-30,2026,abril,T2,Andalucía,General. Compraventa. Número,11723.0,Vivienda
2026-03-31,2026,marzo,T1,España,Total Nacional. Vivienda segunda mano. Compraventa. Número,41783.0,Vivienda
2026-03-31,2026,marzo,T1,España,Total Nacional. Vivienda protegida. Compraventa. Número,3295.0,Vivienda
2026-03-31,2026,marzo,T1,España,Total Nacional. Vivienda nueva. Compraventa. Número,11458.0,Vivienda
2026-03-31,2026,marzo,T1,España,Total Nacional. Vivienda libre. Compraventa. Número,49946.0,Vivienda
2026-03-31,2026,marzo,T1,España,Total Nacional. General. Compraventa. Número,53241.0,Vivienda
2026-03-31,2026,marzo,T1,Andalucía,Vivienda segunda mano. Compraventa. Número,7748.0,Vivienda
2026-03-31,2026,marzo,T1,Andalucía,Vivienda protegida. Compraventa. Número,895.0,Vivienda
2026-03-31,2026,marzo,T1,Andalucía,Vivienda nueva. Compraventa. Número,2913.0,Vivienda
2026-03-31,2026,marzo,T1,Andalucía,Vivienda libre. Compraventa. Número,9766.0,Vivienda
2026-03-31,2026,marzo,T1,Andalucía,General. Compraventa. Número,10661.0,Vivienda
2026-02-28,2026,febrero,T1,España,Total Nacional. Vivienda segunda mano. Compraventa. Número,48238.0,Vivienda
2026-02-28,2026,febrero,T1,España,Total Nacional. Vivienda protegida. Compraventa. Número,3795.0,Vivienda
2026-02-28,2026,febrero,T1,España,Total Nacional. Vivienda nueva. Compraventa. Número,13057.0,Vivienda
2026-02-28,2026,febrero,T1,España,Total Nacional. Vivienda libre. Compraventa. Número,57500.0,Vivienda
2026-02-28,2026,febrero,T1,España,Total Nacional. General. Compraventa. Número,61295.0,Vivienda
2026-02-28,2026,febrero,T1,Andalucía,Vivienda segunda mano. Compraventa. Número,9265.0,Vivienda
2026-02-28,2026,febrero,T1,Andalucía,Vivienda protegida. Compraventa. Número,1020.0,Vivienda
