fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-05-31,2026,mayo,T2,España,Total Nacional. Persona jurídica. Persona jurídica. Porcentaje,6.0,Porcentaje
2026-05-31,2026,mayo,T2,España,Total Nacional. Persona jurídica. Persona física. Porcentaje,17.2,Porcentaje
2026-05-31,2026,mayo,T2,España,Total Nacional. Persona física. Persona jurídica. Porcentaje,4.4,Porcentaje
2026-05-31,2026,mayo,T2,España,Total Nacional. Persona física. Persona física. Porcentaje,72.4,Porcentaje
2026-04-30,2026,abril,T2,España,Total Nacional. Persona jurídica. Persona jurídica. Porcentaje,6.6,Porcentaje
2026-04-30,2026,abril,T2,España,Total Nacional. Persona jurídica. Persona física. Porcentaje,17.0,Porcentaje
2026-04-30,2026,abril,T2,España,Total Nacional. Persona física. Persona jurídica. Porcentaje,4.6,Porcentaje
2026-04-30,2026,abril,T2,España,Total Nacional. Persona física. Persona física. Porcentaje,71.8,Porcentaje
2026-03-31,2026,marzo,T1,España,Total Nacional. Persona jurídica. Persona jurídica. Porcentaje,5.4,Porcentaje
2026-03-31,2026,marzo,T1,España,Total Nacional. Persona jurídica. Persona física. Porcentaje,17.2,Porcentaje
2026-03-31,2026,marzo,T1,España,Total Nacional. Persona física. Persona jurídica. Porcentaje,4.9,Porcentaje
2026-03-31,2026,marzo,T1,España,Total Nacional. Persona física. Persona física. Porcentaje,72.5,Porcentaje
2026-02-28,2026,febrero,T1,España,Total Nacional. Persona jurídica. Persona jurídica. Porcentaje,6.2,Porcentaje
2026-02-28,2026,febrero,T1,España,Total Nacional. Persona jurídica. Persona física. Porcentaje,17.7,Porcentaje
2026-02-28,2026,febrero,T1,España,Total Nacional. Persona física. Persona jurídica. Porcentaje,4.5,Porcentaje
2026-02-28,2026,febrero,T1,España,Total Nacional. Persona física. Persona física. Porcentaje,71.6,Porcentaje
2026-01-31,2026,enero,T1,España,Total Nacional. Persona jurídica. Persona jurídica. Porcentaje,7.5,Porcentaje
2026-01-31,2026,enero,T1,España,Total Nacional. Persona jurídica. Persona física. Porcentaje,18.7,Porcentaje
2026-01-31,2026,enero,T1,España,Total Nacional. Persona física. Persona jurídica. Porcentaje,4.3,Porcentaje
2026-01-31,2026,enero,T1,España,Total Nacional. Persona física. Persona física. Porcentaje,69.5,Porcentaje
2025-12-31,2025,diciembre,T4,España,Total Nacional. Persona jurídica. Persona jurídica. Porcentaje,6.5,Porcentaje
2025-12-31,2025,diciembre,T4,España,Total Nacional. Persona jurídica. Persona física. Porcentaje,19.2,Porcentaje
2025-12-31,2025,diciembre,T4,España,Total Nacional. Persona física. Persona jurídica. Porcentaje,4.6,Porcentaje
2025-12-31,2025,diciembre,T4,España,Total Nacional. Persona física. Persona física. Porcentaje,69.7,Porcentaje
2025-11-30,2025,noviembre,T4,España,Total Nacional. Persona jurídica. Persona jurídica. Porcentaje,6.9,Porcentaje
2025-11-30,2025,noviembre,T4,España,Total Nacional. Persona jurídica. Persona física. Porcentaje,17.0,Porcentaje
2025-11-30,2025,noviembre,T4,España,Total Nacional. Persona física. Persona jurídica. Porcentaje,4.7,Porcentaje
2025-11-30,2025,noviembre,T4,España,Total Nacional. Persona física. Persona física. Porcentaje,71.4,Porcentaje
2025-10-31,2025,octubre,T4,España,Total Nacional. Persona jurídica. Persona jurídica. Porcentaje,7.5,Porcentaje
2025-10-31,2025,octubre,T4,España,Total Nacional. Persona jurídica. Persona física. Porcentaje,17.2,Porcentaje
2025-10-31,2025,octubre,T4,España,Total Nacional. Persona física. Persona jurídica. Porcentaje,4.4,Porcentaje
2025-10-31,2025,octubre,T4,España,Total Nacional. Persona física. Persona física. Porcentaje,70.9,Porcentaje
2025-09-30,2025,septiembre,T3,España,Total Nacional. Persona jurídica. Persona jurídica. Porcentaje,5.8,Porcentaje
2025-09-30,2025,septiembre,T3,España,Total Nacional. Persona jurídica. Persona física. Porcentaje,17.5,Porcentaje
2025-09-30,2025,septiembre,T3,España,Total Nacional. Persona física. Persona jurídica. Porcentaje,4.5,Porcentaje
2025-09-30,2025,septiembre,T3,España,Total Nacional. Persona física. Persona física. Porcentaje,72.2,Porcentaje
2025-08-31,2025,agosto,T3,España,Total Nacional. Persona jurídica. Persona jurídica. Porcentaje,7.2,Porcentaje
2025-08-31,2025,agosto,T3,España,Total Nacional. Persona jurídica. Persona física. Porcentaje,17.1,Porcentaje
2025-08-31,2025,agosto,T3,España,Total Nacional. Persona física. Persona jurídica. Porcentaje,4.0,Porcentaje
2025-08-31,2025,agosto,T3,España,Total Nacional. Persona física. Persona física. Porcentaje,71.7,Porcentaje
2025-07-31,2025,julio,T3,España,Total Nacional. Persona jurídica. Persona jurídica. Porcentaje,6.0,Porcentaje
2025-07-31,2025,julio,T3,España,Total Nacional. Persona jurídica. Persona física. Porcentaje,17.0,Porcentaje
2025-07-31,2025,julio,T3,España,Total Nacional. Persona física. Persona jurídica. Porcentaje,4.4,Porcentaje
2025-07-31,2025,julio,T3,España,Total Nacional. Persona física. Persona física. Porcentaje,72.6,Porcentaje
2025-06-30,2025,junio,T2,España,Total Nacional. Persona jurídica. Persona jurídica. Porcentaje,6.8,Porcentaje
2025-06-30,2025,junio,T2,España,Total Nacional. Persona jurídica. Persona física. Porcentaje,16.8,Porcentaje
2025-06-30,2025,junio,T2,España,Total Nacional. Persona física. Persona jurídica. Porcentaje,4.5,Porcentaje
2025-06-30,2025,junio,T2,España,Total Nacional. Persona física. Persona física. Porcentaje,71.9,Porcentaje
