fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-05-31,2026,mayo,T2,España,Viviendas. Número de hipotecas. Total Nacional. Base nueva. Mensual,45907.0,Hipotecas
2026-05-31,2026,mayo,T2,España,Viviendas. Importe de hipotecas. Total Nacional. Base nueva. Mensual,8188218.0,Euros
2026-05-31,2026,mayo,T2,España,Total fincas. Número de hipotecas. Total Nacional. Base nueva. Mensual,58361.0,Hipotecas
2026-05-31,2026,mayo,T2,España,Total fincas. Importe de hipotecas. Total Nacional. Base nueva. Mensual,12424304.0,Euros
2026-05-31,2026,mayo,T2,España,Total fincas urbanas. Número de hipotecas. Total Nacional. Base nueva. Mensual,57386.0,Hipotecas
2026-05-31,2026,mayo,T2,España,Total fincas urbanas. Importe de hipotecas. Total Nacional. Base nueva. Mensual,12098746.0,Euros
2026-05-31,2026,mayo,T2,España,Total fincas rústicas. Número de hipotecas. Total Nacional. Base nueva. Mensual,975.0,Hipotecas
2026-05-31,2026,mayo,T2,España,Total fincas rústicas. Importe de hipotecas. Total Nacional. Base nueva. Mensual,325558.0,Euros
2026-05-31,2026,mayo,T2,España,Solares. Número de hipotecas. Total Nacional. Base nueva. Mensual,396.0,Hipotecas
2026-05-31,2026,mayo,T2,España,Solares. Importe de hipotecas. Total Nacional. Base nueva. Mensual,497062.0,Euros
2026-05-31,2026,mayo,T2,España,Otros. Número de hipotecas. Total Nacional. Base nueva. Mensual,11083.0,Hipotecas
2026-05-31,2026,mayo,T2,España,Otros. Importe de hipotecas. Total Nacional. Base nueva. Mensual,3413466.0,Euros
2026-05-31,2026,mayo,T2,Andalucía,Viviendas. Número de hipotecas. Base nueva. Mensual,9321.0,Hipotecas
2026-05-31,2026,mayo,T2,Andalucía,Viviendas. Importe de hipotecas. Base nueva. Mensual,1511591.0,Euros
2026-05-31,2026,mayo,T2,Andalucía,Total fincas. Número de hipotecas. Base nueva. Mensual,11709.0,Hipotecas
2026-05-31,2026,mayo,T2,Andalucía,Total fincas. Importe de hipotecas. Base nueva. Mensual,2260234.0,Euros
2026-05-31,2026,mayo,T2,Andalucía,Total fincas urbanas. Número de hipotecas. Base nueva. Mensual,11512.0,Hipotecas
2026-05-31,2026,mayo,T2,Andalucía,Total fincas urbanas. Importe de hipotecas. Base nueva. Mensual,2214830.0,Euros
2026-05-31,2026,mayo,T2,Andalucía,Total fincas rústicas. Número de hipotecas. Base nueva. Mensual,197.0,Hipotecas
2026-05-31,2026,mayo,T2,Andalucía,Total fincas rústicas. Importe de hipotecas. Base nueva. Mensual,45404.0,Euros
2026-05-31,2026,mayo,T2,Andalucía,Solares. Número de hipotecas. Base nueva. Mensual,111.0,Hipotecas
2026-05-31,2026,mayo,T2,Andalucía,Solares. Importe de hipotecas. Base nueva. Mensual,121543.0,Euros
2026-05-31,2026,mayo,T2,Andalucía,Otros. Número de hipotecas. Base nueva. Mensual,2080.0,Hipotecas
2026-05-31,2026,mayo,T2,Andalucía,Otros. Importe de hipotecas. Base nueva. Mensual,581696.0,Euros
2026-04-30,2026,abril,T2,España,Viviendas. Número de hipotecas. Total Nacional. Base nueva. Mensual,42213.0,Hipotecas
2026-04-30,2026,abril,T2,España,Viviendas. Importe de hipotecas. Total Nacional. Base nueva. Mensual,7381626.0,Euros
2026-04-30,2026,abril,T2,España,Total fincas. Número de hipotecas. Total Nacional. Base nueva. Mensual,55235.0,Hipotecas
2026-04-30,2026,abril,T2,España,Total fincas. Importe de hipotecas. Total Nacional. Base nueva. Mensual,10696371.0,Euros
2026-04-30,2026,abril,T2,España,Total fincas urbanas. Número de hipotecas. Total Nacional. Base nueva. Mensual,54192.0,Hipotecas
2026-04-30,2026,abril,T2,España,Total fincas urbanas. Importe de hipotecas. Total Nacional. Base nueva. Mensual,10411103.0,Euros
2026-04-30,2026,abril,T2,España,Total fincas rústicas. Número de hipotecas. Total Nacional. Base nueva. Mensual,1043.0,Hipotecas
2026-04-30,2026,abril,T2,España,Total fincas rústicas. Importe de hipotecas. Total Nacional. Base nueva. Mensual,285268.0,Euros
2026-04-30,2026,abril,T2,España,Solares. Número de hipotecas. Total Nacional. Base nueva. Mensual,496.0,Hipotecas
2026-04-30,2026,abril,T2,España,Solares. Importe de hipotecas. Total Nacional. Base nueva. Mensual,363805.0,Euros
2026-04-30,2026,abril,T2,España,Otros. Número de hipotecas. Total Nacional. Base nueva. Mensual,11483.0,Hipotecas
2026-04-30,2026,abril,T2,España,Otros. Importe de hipotecas. Total Nacional. Base nueva. Mensual,2665672.0,Euros
2026-04-30,2026,abril,T2,Andalucía,Viviendas. Número de hipotecas. Base nueva. Mensual,8367.0,Hipotecas
2026-04-30,2026,abril,T2,Andalucía,Viviendas. Importe de hipotecas. Base nueva. Mensual,1276466.0,Euros
2026-04-30,2026,abril,T2,Andalucía,Total fincas. Número de hipotecas. Base nueva. Mensual,10445.0,Hipotecas
2026-04-30,2026,abril,T2,Andalucía,Total fincas. Importe de hipotecas. Base nueva. Mensual,1992154.0,Euros
2026-04-30,2026,abril,T2,Andalucía,Total fincas urbanas. Número de hipotecas. Base nueva. Mensual,10192.0,Hipotecas
2026-04-30,2026,abril,T2,Andalucía,Total fincas urbanas. Importe de hipotecas. Base nueva. Mensual,1897454.0,Euros
2026-04-30,2026,abril,T2,Andalucía,Total fincas rústicas. Número de hipotecas. Base nueva. Mensual,253.0,Hipotecas
2026-04-30,2026,abril,T2,Andalucía,Total fincas rústicas. Importe de hipotecas. Base nueva. Mensual,94700.0,Euros
2026-04-30,2026,abril,T2,Andalucía,Solares. Número de hipotecas. Base nueva. Mensual,111.0,Hipotecas
2026-04-30,2026,abril,T2,Andalucía,Solares. Importe de hipotecas. Base nueva. Mensual,49883.0,Euros
2026-04-30,2026,abril,T2,Andalucía,Otros. Número de hipotecas. Base nueva. Mensual,1714.0,Hipotecas
2026-04-30,2026,abril,T2,Andalucía,Otros. Importe de hipotecas. Base nueva. Mensual,571105.0,Euros
2026-03-31,2026,marzo,T1,España,Viviendas. Número de hipotecas. Total Nacional. Base nueva. Mensual,40010.0,Hipotecas
2026-03-31,2026,marzo,T1,España,Viviendas. Importe de hipotecas. Total Nacional. Base nueva. Mensual,6934991.0,Euros
2026-03-31,2026,marzo,T1,España,Total fincas. Número de hipotecas. Total Nacional. Base nueva. Mensual,51136.0,Hipotecas
2026-03-31,2026,marzo,T1,España,Total fincas. Importe de hipotecas. Total Nacional. Base nueva. Mensual,10512598.0,Euros
2026-03-31,2026,marzo,T1,España,Total fincas urbanas. Número de hipotecas. Total Nacional. Base nueva. Mensual,50280.0,Hipotecas
2026-03-31,2026,marzo,T1,España,Total fincas urbanas. Importe de hipotecas. Total Nacional. Base nueva. Mensual,10325574.0,Euros
2026-03-31,2026,marzo,T1,España,Total fincas rústicas. Número de hipotecas. Total Nacional. Base nueva. Mensual,856.0,Hipotecas
2026-03-31,2026,marzo,T1,España,Total fincas rústicas. Importe de hipotecas. Total Nacional. Base nueva. Mensual,187024.0,Euros
2026-03-31,2026,marzo,T1,España,Solares. Número de hipotecas. Total Nacional. Base nueva. Mensual,317.0,Hipotecas
