fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-02-28,2026,febrero,T1,España,Total Nacional. Índice. Mano de obra en la construcción. Base 1980,488.39,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Índice. Mano de obra en la construcción. Base 1980,483.61,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Índice. Mano de obra en la construcción. Base 1980,481.88,Índice
2025-11-30,2025,noviembre,T4,España,Total Nacional. Índice. Mano de obra en la construcción. Base 1980,483.72,Índice
2025-10-31,2025,octubre,T4,España,Total Nacional. Índice. Mano de obra en la construcción. Base 1980,482.32,Índice
2025-09-30,2025,septiembre,T3,España,Total Nacional. Índice. Mano de obra en la construcción. Base 1980,481.52,Índice
2025-08-31,2025,agosto,T3,España,Total Nacional. Índice. Mano de obra en la construcción. Base 1980,478.72,Índice
2025-07-31,2025,julio,T3,España,Total Nacional. Índice. Mano de obra en la construcción. Base 1980,479.88,Índice
2025-06-30,2025,junio,T2,España,Total Nacional. Índice. Mano de obra en la construcción. Base 1980,479.72,Índice
2025-05-31,2025,mayo,T2,España,Total Nacional. Índice. Mano de obra en la construcción. Base 1980,480.03,Índice
2025-04-30,2025,abril,T2,España,Total Nacional. Índice. Mano de obra en la construcción. Base 1980,477.32,Índice
2025-03-31,2025,marzo,T1,España,Total Nacional. Índice. Mano de obra en la construcción. Base 1980,477.04,Índice
