fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-02-28,2026,febrero,T1,España,Total Nacional. Materiales y equipos eléctricos. Índice. Base 2011,141.805,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Materiales textiles. Índice. Base 2011,115.847,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Materiales para fabricación de calzado. Índice. Base 2011,122.761,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Materiales minerales no metálicos. Índice. Base 2011,137.964,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Cabezas explosivas. Índice. Base 2011,162.4,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Materiales y equipos eléctricos. Índice. Base 2011,139.018,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Materiales textiles. Índice. Base 2011,115.934,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Materiales para fabricación de calzado. Índice. Base 2011,123.494,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Materiales minerales no metálicos. Índice. Base 2011,133.101,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Cabezas explosivas. Índice. Base 2011,162.28,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Materiales y equipos eléctricos. Índice. Base 2011,137.242,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Materiales textiles. Índice. Base 2011,115.851,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Materiales para fabricación de calzado. Índice. Base 2011,122.477,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Materiales minerales no metálicos. Índice. Base 2011,131.878,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Cabezas explosivas. Índice. Base 2011,162.559,Índice
2025-11-30,2025,noviembre,T4,España,Total Nacional. Materiales y equipos eléctricos. Índice. Base 2011,132.682,Índice
2025-11-30,2025,noviembre,T4,España,Total Nacional. Materiales textiles. Índice. Base 2011,115.04,Índice
2025-11-30,2025,noviembre,T4,España,Total Nacional. Materiales para fabricación de calzado. Índice. Base 2011,122.604,Índice
2025-11-30,2025,noviembre,T4,España,Total Nacional. Materiales minerales no metálicos. Índice. Base 2011,131.459,Índice
2025-11-30,2025,noviembre,T4,España,Total Nacional. Cabezas explosivas. Índice. Base 2011,162.428,Índice
2025-10-31,2025,octubre,T4,España,Total Nacional. Materiales y equipos eléctricos. Índice. Base 2011,130.896,Índice
2025-10-31,2025,octubre,T4,España,Total Nacional. Materiales textiles. Índice. Base 2011,114.943,Índice
2025-10-31,2025,octubre,T4,España,Total Nacional. Materiales para fabricación de calzado. Índice. Base 2011,122.891,Índice
2025-10-31,2025,octubre,T4,España,Total Nacional. Materiales minerales no metálicos. Índice. Base 2011,131.912,Índice
2025-10-31,2025,octubre,T4,España,Total Nacional. Cabezas explosivas. Índice. Base 2011,159.175,Índice
2025-09-30,2025,septiembre,T3,España,Total Nacional. Materiales y equipos eléctricos. Índice. Base 2011,130.908,Índice
2025-09-30,2025,septiembre,T3,España,Total Nacional. Materiales textiles. Índice. Base 2011,115.033,Índice
2025-09-30,2025,septiembre,T3,España,Total Nacional. Materiales para fabricación de calzado. Índice. Base 2011,122.071,Índice
2025-09-30,2025,septiembre,T3,España,Total Nacional. Materiales minerales no metálicos. Índice. Base 2011,131.484,Índice
2025-09-30,2025,septiembre,T3,España,Total Nacional. Cabezas explosivas. Índice. Base 2011,159.416,Índice
2025-08-31,2025,agosto,T3,España,Total Nacional. Materiales y equipos eléctricos. Índice. Base 2011,128.796,Índice
2025-08-31,2025,agosto,T3,España,Total Nacional. Materiales textiles. Índice. Base 2011,114.983,Índice
2025-08-31,2025,agosto,T3,España,Total Nacional. Materiales para fabricación de calzado. Índice. Base 2011,122.531,Índice
2025-08-31,2025,agosto,T3,España,Total Nacional. Materiales minerales no metálicos. Índice. Base 2011,132.605,Índice
2025-08-31,2025,agosto,T3,España,Total Nacional. Cabezas explosivas. Índice. Base 2011,155.473,Índice
2025-07-31,2025,julio,T3,España,Total Nacional. Materiales y equipos eléctricos. Índice. Base 2011,128.705,Índice
2025-07-31,2025,julio,T3,España,Total Nacional. Materiales textiles. Índice. Base 2011,115.066,Índice
2025-07-31,2025,julio,T3,España,Total Nacional. Materiales para fabricación de calzado. Índice. Base 2011,121.233,Índice
2025-07-31,2025,julio,T3,España,Total Nacional. Materiales minerales no metálicos. Índice. Base 2011,134.464,Índice
2025-07-31,2025,julio,T3,España,Total Nacional. Cabezas explosivas. Índice. Base 2011,155.998,Índice
2025-06-30,2025,junio,T2,España,Total Nacional. Materiales y equipos eléctricos. Índice. Base 2011,128.569,Índice
2025-06-30,2025,junio,T2,España,Total Nacional. Materiales textiles. Índice. Base 2011,115.0,Índice
2025-06-30,2025,junio,T2,España,Total Nacional. Materiales para fabricación de calzado. Índice. Base 2011,121.669,Índice
2025-06-30,2025,junio,T2,España,Total Nacional. Materiales minerales no metálicos. Índice. Base 2011,135.626,Índice
2025-06-30,2025,junio,T2,España,Total Nacional. Cabezas explosivas. Índice. Base 2011,155.88,Índice
2025-05-31,2025,mayo,T2,España,Total Nacional. Materiales y equipos eléctricos. Índice. Base 2011,129.324,Índice
2025-05-31,2025,mayo,T2,España,Total Nacional. Materiales textiles. Índice. Base 2011,114.91,Índice
2025-05-31,2025,mayo,T2,España,Total Nacional. Materiales para fabricación de calzado. Índice. Base 2011,123.18,Índice
2025-05-31,2025,mayo,T2,España,Total Nacional. Materiales minerales no metálicos. Índice. Base 2011,134.047,Índice
2025-05-31,2025,mayo,T2,España,Total Nacional. Cabezas explosivas. Índice. Base 2011,154.702,Índice
2025-04-30,2025,abril,T2,España,Total Nacional. Materiales y equipos eléctricos. Índice. Base 2011,129.765,Índice
2025-04-30,2025,abril,T2,España,Total Nacional. Materiales textiles. Índice. Base 2011,114.91,Índice
2025-04-30,2025,abril,T2,España,Total Nacional. Materiales para fabricación de calzado. Índice. Base 2011,123.186,Índice
2025-04-30,2025,abril,T2,España,Total Nacional. Materiales minerales no metálicos. Índice. Base 2011,134.986,Índice
2025-04-30,2025,abril,T2,España,Total Nacional. Cabezas explosivas. Índice. Base 2011,153.429,Índice
2025-03-31,2025,marzo,T1,España,Total Nacional. Materiales y equipos eléctricos. Índice. Base 2011,129.532,Índice
2025-03-31,2025,marzo,T1,España,Total Nacional. Materiales textiles. Índice. Base 2011,114.846,Índice
2025-03-31,2025,marzo,T1,España,Total Nacional. Materiales para fabricación de calzado. Índice. Base 2011,122.714,Índice
2025-03-31,2025,marzo,T1,España,Total Nacional. Materiales minerales no metálicos. Índice. Base 2011,137.435,Índice
2025-03-31,2025,marzo,T1,España,Total Nacional. Cabezas explosivas. Índice. Base 2011,153.133,Índice
