fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-02-28,2026,febrero,T1,España,Total Nacional. Vidrio. Índice. Base 2011,144.599,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Productos quimicos. Índice. Base 2011,134.106,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Productos plásticos. Índice. Base 2011,128.132,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Materiales explosivos. Índice. Base 2011,146.658,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Materiales electrónicos. Índice. Base 2011,121.051,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Madera. Índice. Base 2011,144.009,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Ligantes. Base 2011. Índice,140.839,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Focos y luminarias. Índice. Base 2011,115.557,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Energía. Índice. Base 2011,149.277,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Cobre. Índice. Base 2011,177.524,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Ceramica. Índice. Base 2011,154.916,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Cemento. Índice. Base 2011,158.446,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Aridos y rocas. Índice. Base 2011,136.606,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Aluminio. Índice. Base 2011,153.092,Índice
2026-02-28,2026,febrero,T1,España,Total Nacional. Acero. Base 2011. Índice,127.958,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Vidrio. Índice. Base 2011,143.284,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Productos quimicos. Índice. Base 2011,134.098,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Productos plásticos. Índice. Base 2011,126.572,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Materiales explosivos. Índice. Base 2011,145.85,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Materiales electrónicos. Índice. Base 2011,120.696,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Madera. Índice. Base 2011,143.719,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Ligantes. Base 2011. Índice,115.83,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Focos y luminarias. Índice. Base 2011,115.557,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Energía. Índice. Base 2011,124.207,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Cobre. Índice. Base 2011,172.025,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Ceramica. Índice. Base 2011,150.924,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Cemento. Índice. Base 2011,157.406,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Aridos y rocas. Índice. Base 2011,136.102,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Aluminio. Índice. Base 2011,148.668,Índice
2026-01-31,2026,enero,T1,España,Total Nacional. Acero. Base 2011. Índice,126.1,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Vidrio. Índice. Base 2011,146.708,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Productos quimicos. Índice. Base 2011,133.825,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Productos plásticos. Índice. Base 2011,126.286,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Materiales explosivos. Índice. Base 2011,144.271,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Materiales electrónicos. Índice. Base 2011,119.51,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Madera. Índice. Base 2011,143.234,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Ligantes. Base 2011. Índice,113.687,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Focos y luminarias. Índice. Base 2011,114.934,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Energía. Índice. Base 2011,121.387,Índice
2025-12-31,2025,diciembre,T4,España,Total Nacional. Cobre. Índice. Base 2011,178.547,Índice
