fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-06-30,2026,junio,T2,España,Ingeniería civil. Índice. Datos ajustados de calendario,95.4,Índice
2026-06-30,2026,junio,T2,España,Ingeniería civil. Variación mensual. Datos ajustados de calendario,-2.8,Tasas
2026-06-30,2026,junio,T2,España,Ingeniería civil. Variación de la media en lo que va de año. Datos ajustados de calendario,-0.31,Tasas
2026-06-30,2026,junio,T2,España,Ingeniería civil. Variación anual. Datos ajustados de calendario,-4.6,Tasas
2026-06-30,2026,junio,T2,España,Construcción. Índice. Datos ajustados de calendario,127.0,Índice
2026-06-30,2026,junio,T2,España,Construcción. Variación mensual. Datos ajustados de calendario,12.7,Tasas
2026-06-30,2026,junio,T2,España,Construcción. Variación de la media en lo que va de año. Datos ajustados de calendario,-14.82,Tasas
2026-06-30,2026,junio,T2,España,Construcción. Variación anual. Datos ajustados de calendario,-9.8,Tasas
2026-06-30,2026,junio,T2,España,Construcción de edificios. Índice. Datos ajustados de calendario,74.9,Índice
2026-06-30,2026,junio,T2,España,Construcción de edificios. Variación mensual. Datos ajustados de calendario,28.8,Tasas
2026-06-30,2026,junio,T2,España,Construcción de edificios. Variación de la media en lo que va de año. Datos ajustados de calendario,-46.785,Tasas
2026-06-30,2026,junio,T2,España,Construcción de edificios. Variación anual. Datos ajustados de calendario,-35.2,Tasas
2026-06-30,2026,junio,T2,España,Actividades de construcción especializada. Índice. Datos ajustados de calendario,158.8,Índice
2026-06-30,2026,junio,T2,España,Actividades de construcción especializada. Variación mensual. Datos ajustados de calendario,9.6,Tasas
2026-06-30,2026,junio,T2,España,Actividades de construcción especializada. Variación de la media en lo que va de año. Datos ajustados de calendario,-3.828,Tasas
2026-06-30,2026,junio,T2,España,Actividades de construcción especializada. Variación anual. Datos ajustados de calendario,-1.7,Tasas
2026-05-31,2026,mayo,T2,España,Ingeniería civil. Índice. Datos ajustados de calendario,98.2,Índice
2026-05-31,2026,mayo,T2,España,Ingeniería civil. Variación mensual. Datos ajustados de calendario,1.8,Tasas
2026-05-31,2026,mayo,T2,España,Ingeniería civil. Variación de la media en lo que va de año. Datos ajustados de calendario,0.511,Tasas
2026-05-31,2026,mayo,T2,España,Ingeniería civil. Variación anual. Datos ajustados de calendario,-6.7,Tasas
2026-05-31,2026,mayo,T2,España,Construcción. Índice. Datos ajustados de calendario,112.6,Índice
2026-05-31,2026,mayo,T2,España,Construcción. Variación mensual. Datos ajustados de calendario,2.9,Tasas
2026-05-31,2026,mayo,T2,España,Construcción. Variación de la media en lo que va de año. Datos ajustados de calendario,-15.783,Tasas
2026-05-31,2026,mayo,T2,España,Construcción. Variación anual. Datos ajustados de calendario,-12.3,Tasas
2026-05-31,2026,mayo,T2,España,Construcción de edificios. Índice. Datos ajustados de calendario,58.1,Índice
2026-05-31,2026,mayo,T2,España,Construcción de edificios. Variación mensual. Datos ajustados de calendario,9.5,Tasas
2026-05-31,2026,mayo,T2,España,Construcción de edificios. Variación de la media en lo que va de año. Datos ajustados de calendario,-49.011,Tasas
2026-05-31,2026,mayo,T2,España,Construcción de edificios. Variación anual. Datos ajustados de calendario,-43.5,Tasas
2026-05-31,2026,mayo,T2,España,Actividades de construcción especializada. Índice. Datos ajustados de calendario,144.9,Índice
2026-05-31,2026,mayo,T2,España,Actividades de construcción especializada. Variación mensual. Datos ajustados de calendario,-2.0,Tasas
2026-05-31,2026,mayo,T2,España,Actividades de construcción especializada. Variación de la media en lo que va de año. Datos ajustados de calendario,-4.226,Tasas
2026-05-31,2026,mayo,T2,España,Actividades de construcción especializada. Variación anual. Datos ajustados de calendario,-1.8,Tasas
2026-04-30,2026,abril,T2,España,Ingeniería civil. Índice. Datos ajustados de calendario,96.4,Índice
