fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-03-31,2026,marzo,T1,España,Vivienda segunda mano. Índice,111.682,Índice
2026-03-31,2026,marzo,T1,España,Vivienda segunda mano. Variación trimestral,3.7,Tasas
2026-03-31,2026,marzo,T1,España,Vivienda segunda mano. Variación en lo que va de año,7.4,Tasas
2026-03-31,2026,marzo,T1,España,Vivienda segunda mano. Variación anual,12.9,Tasas
2026-03-31,2026,marzo,T1,España,Vivienda nueva. Índice,107.228,Índice
2026-03-31,2026,marzo,T1,España,Vivienda nueva. Variación trimestral,1.0,Tasas
2026-03-31,2026,marzo,T1,España,Vivienda nueva. Variación en lo que va de año,4.6,Tasas
2026-03-31,2026,marzo,T1,España,Vivienda nueva. Variación anual,7.4,Tasas
2026-03-31,2026,marzo,T1,España,General. Índice,111.095,Índice
2026-03-31,2026,marzo,T1,España,General. Variación trimestral,3.4,Tasas
2026-03-31,2026,marzo,T1,España,General. Variación en lo que va de año,7.0,Tasas
2026-03-31,2026,marzo,T1,España,General. Variación anual,12.2,Tasas
2026-03-31,2026,marzo,T1,Andalucía,Vivienda segunda mano. Índice,111.393,Índice
2026-03-31,2026,marzo,T1,Andalucía,Vivienda segunda mano. Variación trimestral,3.1,Tasas
2026-03-31,2026,marzo,T1,Andalucía,Vivienda segunda mano. Variación en lo que va de año,7.2,Tasas
2026-03-31,2026,marzo,T1,Andalucía,Vivienda segunda mano. Variación anual,12.5,Tasas
2026-03-31,2026,marzo,T1,Andalucía,Vivienda nueva. Índice,108.261,Índice
2026-03-31,2026,marzo,T1,Andalucía,Vivienda nueva. Variación trimestral,0.4,Tasas
2026-03-31,2026,marzo,T1,Andalucía,Vivienda nueva. Variación en lo que va de año,5.0,Tasas
2026-03-31,2026,marzo,T1,Andalucía,Vivienda nueva. Variación anual,9.0,Tasas
2026-03-31,2026,marzo,T1,Andalucía,General. Índice,110.903,Índice
2026-03-31,2026,marzo,T1,Andalucía,General. Variación trimestral,2.6,Tasas
2026-03-31,2026,marzo,T1,Andalucía,General. Variación en lo que va de año,6.9,Tasas
2026-03-31,2026,marzo,T1,Andalucía,General. Variación anual,11.9,Tasas
2025-12-31,2025,diciembre,T4,España,Vivienda segunda mano. Índice,107.666,Índice
2025-12-31,2025,diciembre,T4,España,Vivienda segunda mano. Variación trimestral,3.5,Tasas
2025-12-31,2025,diciembre,T4,España,Vivienda segunda mano. Variación en lo que va de año,3.5,Tasas
2025-12-31,2025,diciembre,T4,España,Vivienda segunda mano. Variación anual,13.5,Tasas
2025-12-31,2025,diciembre,T4,España,Vivienda nueva. Índice,106.129,Índice
2025-12-31,2025,diciembre,T4,España,Vivienda nueva. Variación trimestral,3.5,Tasas
2025-12-31,2025,diciembre,T4,España,Vivienda nueva. Variación en lo que va de año,3.5,Tasas
2025-12-31,2025,diciembre,T4,España,Vivienda nueva. Variación anual,9.1,Tasas
2025-12-31,2025,diciembre,T4,España,General. Índice,107.458,Índice
2025-12-31,2025,diciembre,T4,España,General. Variación trimestral,3.5,Tasas
2025-12-31,2025,diciembre,T4,España,General. Variación en lo que va de año,3.5,Tasas
2025-12-31,2025,diciembre,T4,España,General. Variación anual,12.9,Tasas
2025-12-31,2025,diciembre,T4,Andalucía,Vivienda segunda mano. Índice,108.09,Índice
2025-12-31,2025,diciembre,T4,Andalucía,Vivienda segunda mano. Variación trimestral,4.1,Tasas
2025-12-31,2025,diciembre,T4,Andalucía,Vivienda segunda mano. Variación en lo que va de año,4.1,Tasas
2025-12-31,2025,diciembre,T4,Andalucía,Vivienda segunda mano. Variación anual,13.6,Tasas
2025-12-31,2025,diciembre,T4,Andalucía,Vivienda nueva. Índice,107.827,Índice
2025-12-31,2025,diciembre,T4,Andalucía,Vivienda nueva. Variación trimestral,4.5,Tasas
2025-12-31,2025,diciembre,T4,Andalucía,Vivienda nueva. Variación en lo que va de año,4.5,Tasas
2025-12-31,2025,diciembre,T4,Andalucía,Vivienda nueva. Variación anual,11.3,Tasas
2025-12-31,2025,diciembre,T4,Andalucía,General. Índice,108.061,Índice
2025-12-31,2025,diciembre,T4,Andalucía,General. Variación trimestral,4.1,Tasas
2025-12-31,2025,diciembre,T4,Andalucía,General. Variación en lo que va de año,4.1,Tasas
2025-12-31,2025,diciembre,T4,Andalucía,General. Variación anual,13.3,Tasas
