fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2023-12-31,2023,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Índice,118.005,Índice
2023-12-31,2023,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Variación anual,3.0,Índice
2023-12-31,2023,diciembre,T4,España,Total Nacional. Vivienda colectiva. Índice,123.533,Índice
2023-12-31,2023,diciembre,T4,España,Total Nacional. Vivienda colectiva. Variación anual,3.6,Índice
2023-12-31,2023,diciembre,T4,España,Total Nacional. Total. Índice,122.92,Índice
2023-12-31,2023,diciembre,T4,España,Total Nacional. Total. Variación anual,3.5,Índice
2023-12-31,2023,diciembre,T4,Andalucía,Vivienda unifamiliar. Índice,117.545,Índice
2023-12-31,2023,diciembre,T4,Andalucía,Vivienda unifamiliar. Variación anual,3.1,Índice
2023-12-31,2023,diciembre,T4,Andalucía,Vivienda colectiva. Índice,124.166,Índice
2023-12-31,2023,diciembre,T4,Andalucía,Vivienda colectiva. Variación anual,3.9,Índice
2023-12-31,2023,diciembre,T4,Andalucía,Total. Índice,123.029,Índice
2023-12-31,2023,diciembre,T4,Andalucía,Total. Variación anual,3.8,Índice
2022-12-31,2022,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Índice,114.608,Índice
2022-12-31,2022,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Variación anual,2.1,Índice
2022-12-31,2022,diciembre,T4,España,Total Nacional. Vivienda colectiva. Índice,119.24,Índice
2022-12-31,2022,diciembre,T4,España,Total Nacional. Vivienda colectiva. Variación anual,2.7,Índice
2022-12-31,2022,diciembre,T4,España,Total Nacional. Total. Índice,118.727,Índice
2022-12-31,2022,diciembre,T4,España,Total Nacional. Total. Variación anual,2.6,Índice
2022-12-31,2022,diciembre,T4,Andalucía,Vivienda unifamiliar. Índice,113.975,Índice
2022-12-31,2022,diciembre,T4,Andalucía,Vivienda unifamiliar. Variación anual,1.8,Índice
2022-12-31,2022,diciembre,T4,Andalucía,Vivienda colectiva. Índice,119.478,Índice
2022-12-31,2022,diciembre,T4,Andalucía,Vivienda colectiva. Variación anual,2.7,Índice
2022-12-31,2022,diciembre,T4,Andalucía,Total. Índice,118.53,Índice
2022-12-31,2022,diciembre,T4,Andalucía,Total. Variación anual,2.6,Índice
2021-12-31,2021,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Índice,112.215,Índice
2021-12-31,2021,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Variación anual,2.5,Índice
2021-12-31,2021,diciembre,T4,España,Total Nacional. Vivienda colectiva. Índice,116.115,Índice
2021-12-31,2021,diciembre,T4,España,Total Nacional. Vivienda colectiva. Variación anual,2.7,Índice
2021-12-31,2021,diciembre,T4,España,Total Nacional. Total. Índice,115.684,Índice
2021-12-31,2021,diciembre,T4,España,Total Nacional. Total. Variación anual,2.7,Índice
2021-12-31,2021,diciembre,T4,Andalucía,Vivienda unifamiliar. Índice,111.909,Índice
2021-12-31,2021,diciembre,T4,Andalucía,Vivienda unifamiliar. Variación anual,2.1,Índice
2021-12-31,2021,diciembre,T4,Andalucía,Vivienda colectiva. Índice,116.336,Índice
2021-12-31,2021,diciembre,T4,Andalucía,Vivienda colectiva. Variación anual,2.9,Índice
2021-12-31,2021,diciembre,T4,Andalucía,Total. Índice,115.57,Índice
2021-12-31,2021,diciembre,T4,Andalucía,Total. Variación anual,2.8,Índice
2020-12-31,2020,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Índice,109.513,Índice
2020-12-31,2020,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Variación anual,1.9,Índice
2020-12-31,2020,diciembre,T4,España,Total Nacional. Vivienda colectiva. Índice,113.088,Índice
2020-12-31,2020,diciembre,T4,España,Total Nacional. Vivienda colectiva. Variación anual,1.5,Índice
2020-12-31,2020,diciembre,T4,España,Total Nacional. Total. Índice,112.694,Índice
2020-12-31,2020,diciembre,T4,España,Total Nacional. Total. Variación anual,1.6,Índice
2020-12-31,2020,diciembre,T4,Andalucía,Vivienda unifamiliar. Índice,109.562,Índice
2020-12-31,2020,diciembre,T4,Andalucía,Vivienda unifamiliar. Variación anual,1.8,Índice
2020-12-31,2020,diciembre,T4,Andalucía,Vivienda colectiva. Índice,113.079,Índice
2020-12-31,2020,diciembre,T4,Andalucía,Vivienda colectiva. Variación anual,1.9,Índice
2020-12-31,2020,diciembre,T4,Andalucía,Total. Índice,112.471,Índice
2020-12-31,2020,diciembre,T4,Andalucía,Total. Variación anual,1.9,Índice
2019-12-31,2019,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Índice,107.422,Índice
2019-12-31,2019,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Variación anual,0.6,Índice
2019-12-31,2019,diciembre,T4,España,Total Nacional. Vivienda colectiva. Índice,111.382,Índice
2019-12-31,2019,diciembre,T4,España,Total Nacional. Vivienda colectiva. Variación anual,0.9,Índice
2019-12-31,2019,diciembre,T4,España,Total Nacional. Total. Índice,110.942,Índice
2019-12-31,2019,diciembre,T4,España,Total Nacional. Total. Variación anual,0.9,Índice
2019-12-31,2019,diciembre,T4,Andalucía,Vivienda unifamiliar. Índice,107.625,Índice
2019-12-31,2019,diciembre,T4,Andalucía,Vivienda unifamiliar. Variación anual,0.5,Índice
2019-12-31,2019,diciembre,T4,Andalucía,Vivienda colectiva. Índice,110.948,Índice
2019-12-31,2019,diciembre,T4,Andalucía,Vivienda colectiva. Variación anual,0.8,Índice
2019-12-31,2019,diciembre,T4,Andalucía,Total. Índice,110.374,Índice
2019-12-31,2019,diciembre,T4,Andalucía,Total. Variación anual,0.7,Índice
2018-12-31,2018,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Índice,106.79,Índice
2018-12-31,2018,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Variación anual,1.5,Índice
2018-12-31,2018,diciembre,T4,España,Total Nacional. Vivienda colectiva. Índice,110.4,Índice
2018-12-31,2018,diciembre,T4,España,Total Nacional. Vivienda colectiva. Variación anual,3.8,Índice
2018-12-31,2018,diciembre,T4,España,Total Nacional. Total. Índice,109.999,Índice
2018-12-31,2018,diciembre,T4,España,Total Nacional. Total. Variación anual,3.5,Índice
2018-12-31,2018,diciembre,T4,Andalucía,Vivienda unifamiliar. Índice,107.1,Índice
2018-12-31,2018,diciembre,T4,Andalucía,Vivienda unifamiliar. Variación anual,1.7,Índice
2018-12-31,2018,diciembre,T4,Andalucía,Vivienda colectiva. Índice,110.115,Índice
2018-12-31,2018,diciembre,T4,Andalucía,Vivienda colectiva. Variación anual,3.8,Índice
2018-12-31,2018,diciembre,T4,Andalucía,Total. Índice,109.594,Índice
2018-12-31,2018,diciembre,T4,Andalucía,Total. Variación anual,3.4,Índice
