fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-04-30,2026,abril,T2,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.28,Porcentaje
2026-04-30,2026,abril,T2,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.94,Porcentaje
2025-10-31,2025,octubre,T4,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.24,Porcentaje
2025-10-31,2025,octubre,T4,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.96,Porcentaje
2025-04-30,2025,abril,T2,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.43,Porcentaje
2025-04-30,2025,abril,T2,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,2.06,Porcentaje
2024-10-31,2024,octubre,T4,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.41,Porcentaje
2024-10-31,2024,octubre,T4,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.93,Porcentaje
2024-07-31,2024,julio,T3,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.52,Porcentaje
2024-07-31,2024,julio,T3,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,2.03,Porcentaje
2024-01-31,2024,enero,T1,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.33,Porcentaje
2024-01-31,2024,enero,T1,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.76,Porcentaje
2023-07-31,2023,julio,T3,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.29,Porcentaje
2023-07-31,2023,julio,T3,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.69,Porcentaje
2023-01-31,2023,enero,T1,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.21,Porcentaje
2023-01-31,2023,enero,T1,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.61,Porcentaje
2022-07-31,2022,julio,T3,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.24,Porcentaje
2022-07-31,2022,julio,T3,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.61,Porcentaje
2022-01-31,2022,enero,T1,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.13,Porcentaje
2022-01-31,2022,enero,T1,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.4,Porcentaje
2021-07-31,2021,julio,T3,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.22,Porcentaje
2021-07-31,2021,julio,T3,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.45,Porcentaje
2021-01-31,2021,enero,T1,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.17,Porcentaje
2021-01-31,2021,enero,T1,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.41,Porcentaje
