fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-04-30,2026,abril,T2,España,Total Nacional. Viviendas turísticas. Dato base,341001.0,Vivienda
2026-04-30,2026,abril,T2,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.28,Porcentaje
2026-04-30,2026,abril,T2,España,Total Nacional. Plazas. Dato base,1714702.0,Plazas
2026-04-30,2026,abril,T2,España,Total Nacional. Plazas por vivienda turística. Dato base,5.03,Plazas
2026-04-30,2026,abril,T2,Andalucía,Viviendas turísticas. Dato base,90649.0,Vivienda
2026-04-30,2026,abril,T2,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.94,Porcentaje
2026-04-30,2026,abril,T2,Andalucía,Plazas. Dato base,435594.0,Plazas
2026-04-30,2026,abril,T2,Andalucía,Plazas por vivienda turística. Dato base,4.81,Plazas
2025-10-31,2025,octubre,T4,España,Total Nacional. Viviendas turísticas. Dato base,329764.0,Vivienda
2025-10-31,2025,octubre,T4,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.24,Porcentaje
2025-10-31,2025,octubre,T4,España,Total Nacional. Plazas. Dato base,1624933.0,Plazas
2025-10-31,2025,octubre,T4,España,Total Nacional. Plazas por vivienda turística. Dato base,4.93,Plazas
2025-10-31,2025,octubre,T4,Andalucía,Viviendas turísticas. Dato base,91757.0,Vivienda
2025-10-31,2025,octubre,T4,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.96,Porcentaje
2025-10-31,2025,octubre,T4,Andalucía,Plazas. Dato base,434608.0,Plazas
2025-10-31,2025,octubre,T4,Andalucía,Plazas por vivienda turística. Dato base,4.74,Plazas
2025-04-30,2025,abril,T2,España,Total Nacional. Viviendas turísticas. Dato base,381837.0,Vivienda
2025-04-30,2025,abril,T2,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.43,Porcentaje
2025-04-30,2025,abril,T2,España,Total Nacional. Plazas. Dato base,1927931.0,Plazas
2025-04-30,2025,abril,T2,España,Total Nacional. Plazas por vivienda turística. Dato base,5.05,Plazas
2025-04-30,2025,abril,T2,Andalucía,Viviendas turísticas. Dato base,96176.0,Vivienda
2025-04-30,2025,abril,T2,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,2.06,Porcentaje
2025-04-30,2025,abril,T2,Andalucía,Plazas. Dato base,474331.0,Plazas
2025-04-30,2025,abril,T2,Andalucía,Plazas por vivienda turística. Dato base,4.93,Plazas
2024-10-31,2024,octubre,T4,España,Total Nacional. Viviendas turísticas. Dato base,376463.0,Vivienda
2024-10-31,2024,octubre,T4,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.41,Porcentaje
2024-10-31,2024,octubre,T4,España,Total Nacional. Plazas. Dato base,1896755.0,Plazas
2024-10-31,2024,octubre,T4,España,Total Nacional. Plazas por vivienda turística. Dato base,5.04,Plazas
2024-10-31,2024,octubre,T4,Andalucía,Viviendas turísticas. Dato base,90363.0,Vivienda
2024-10-31,2024,octubre,T4,Andalucía,Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.93,Porcentaje
2024-10-31,2024,octubre,T4,Andalucía,Plazas. Dato base,447162.0,Plazas
2024-10-31,2024,octubre,T4,Andalucía,Plazas por vivienda turística. Dato base,4.95,Plazas
2024-07-31,2024,julio,T3,España,Total Nacional. Viviendas turísticas. Dato base,403267.0,Vivienda
2024-07-31,2024,julio,T3,España,Total Nacional. Porcentaje de viviendas turísticas sobre el total de viviendas censadas. Dato base,1.52,Porcentaje
