periodo,anio,trimestre,ambito,indicador,valor,unidad
2026-Q1,2026,Q1,Unión Europea (27),Índice de precios de la vivienda,164.16,Índice (base 2015 = 100)
2026-Q1,2026,Q1,Unión Europea (27),Índice de precios de la vivienda,102.82,Índice (base 2025 = 100)
2026-Q1,2026,Q1,Unión Europea (27),Variación anual del precio de la vivienda,5.1,Porcentaje
2026-Q1,2026,Q1,Unión Europea (27),Variación trimestral del precio de la vivienda,1.2,Porcentaje
2026-Q1,2026,Q1,Unión Europea (27),Índice de precios de la vivienda,176.12,Índice (base 2015 = 100)
2026-Q1,2026,Q1,Unión Europea (27),Índice de precios de la vivienda,103.2,Índice (base 2025 = 100)
2026-Q1,2026,Q1,Unión Europea (27),Variación anual del precio de la vivienda,5.4,Porcentaje
2026-Q1,2026,Q1,Unión Europea (27),Variación trimestral del precio de la vivienda,1.1,Porcentaje
2026-Q1,2026,Q1,Unión Europea (27),Índice de precios de la vivienda,166.63,Índice (base 2015 = 100)
2026-Q1,2026,Q1,Unión Europea (27),Índice de precios de la vivienda,102.9,Índice (base 2025 = 100)
2026-Q1,2026,Q1,Unión Europea (27),Variación anual del precio de la vivienda,5.1,Porcentaje
2026-Q1,2026,Q1,Unión Europea (27),Variación trimestral del precio de la vivienda,1.2,Porcentaje
2026-Q1,2026,Q1,España,Índice de precios de la vivienda,189.75,Índice (base 2015 = 100)
2026-Q1,2026,Q1,España,Índice de precios de la vivienda,107.68,Índice (base 2025 = 100)
2026-Q1,2026,Q1,España,Variación anual del precio de la vivienda,13.5,Porcentaje
2026-Q1,2026,Q1,España,Variación trimestral del precio de la vivienda,3.5,Porcentaje
2026-Q1,2026,Q1,España,Índice de precios de la vivienda,219.1,Índice (base 2015 = 100)
2026-Q1,2026,Q1,España,Índice de precios de la vivienda,106.12,Índice (base 2025 = 100)
2026-Q1,2026,Q1,España,Variación anual del precio de la vivienda,9.1,Porcentaje
2026-Q1,2026,Q1,España,Variación trimestral del precio de la vivienda,3.5,Porcentaje
