periodo,anio,trimestre,ambito,indicador,valor,unidad
2025,2025,,Unión Europea (27),"Purchases of existing dwellings. Annual average index, 2015=100",159.65,"Annual average index, 2015=100"
2025,2025,,Unión Europea (27),"Purchases of existing dwellings. Annual average index, 2025=100",100.0,"Annual average index, 2025=100"
2025,2025,,Unión Europea (27),Purchases of existing dwellings. Annual average rate of change,5.7,Annual average rate of change
2025,2025,,Unión Europea (27),"Purchases of newly built dwellings. Annual average index, 2015=100",170.66,"Annual average index, 2015=100"
2025,2025,,Unión Europea (27),"Purchases of newly built dwellings. Annual average index, 2025=100",100.0,"Annual average index, 2025=100"
2025,2025,,Unión Europea (27),Purchases of newly built dwellings. Annual average rate of change,4.9,Annual average rate of change
2025,2025,,Unión Europea (27),"Total. Annual average index, 2015=100",161.93,"Annual average index, 2015=100"
2025,2025,,Unión Europea (27),"Total. Annual average index, 2025=100",100.0,"Annual average index, 2025=100"
2025,2025,,Unión Europea (27),Total. Annual average rate of change,5.5,Annual average rate of change
2025,2025,,España,"Purchases of existing dwellings. Annual average index, 2015=100",176.22,"Annual average index, 2015=100"
2025,2025,,España,"Purchases of existing dwellings. Annual average index, 2025=100",100.0,"Annual average index, 2025=100"
2025,2025,,España,Purchases of existing dwellings. Annual average rate of change,13.0,Annual average rate of change
2025,2025,,España,"Purchases of newly built dwellings. Annual average index, 2015=100",206.46,"Annual average index, 2015=100"
2025,2025,,España,"Purchases of newly built dwellings. Annual average index, 2025=100",100.0,"Annual average index, 2025=100"
2025,2025,,España,Purchases of newly built dwellings. Annual average rate of change,11.3,Annual average rate of change
2025,2025,,España,"Total. Annual average index, 2015=100",180.6,"Annual average index, 2015=100"
2025,2025,,España,"Total. Annual average index, 2025=100",100.0,"Annual average index, 2025=100"
2025,2025,,España,Total. Annual average rate of change,12.7,Annual average rate of change
2024,2024,,Unión Europea (27),"Purchases of existing dwellings. Annual average index, 2015=100",151.08,"Annual average index, 2015=100"
2024,2024,,Unión Europea (27),"Purchases of existing dwellings. Annual average index, 2025=100",94.63,"Annual average index, 2025=100"
