periodo,anio,trimestre,ambito,indicador,valor,unidad
2025,2025,,Unión Europea (27),Percentage. Above 60%. Total. Females,3.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. Total. Males,3.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. Total. Total,3.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 12 to 17 years. Females,2.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 12 to 17 years. Males,2.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 12 to 17 years. Total,2.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 19 years. Females,2.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 19 years. Males,2.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 19 years. Total,2.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 24 years. Females,2.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 24 years. Males,2.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 24 years. Total,2.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 29 years. Females,3.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 29 years. Males,3.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 29 years. Total,3.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 19 years. Females,1.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 19 years. Males,2.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 19 years. Total,2.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 24 years. Females,3.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 24 years. Males,2.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 24 years. Total,3.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 29 years. Females,3.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 29 years. Males,3.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 29 years. Total,3.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 18 to 24 years. Females,3.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 18 to 24 years. Males,3.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 18 to 24 years. Total,3.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 18 to 64 years. Females,3.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 18 to 64 years. Males,3.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 18 to 64 years. Total,3.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 20 to 24 years. Females,3.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 20 to 24 years. Males,3.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 20 to 24 years. Total,3.7,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 20 to 29 years. Females,4.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 20 to 29 years. Males,3.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 20 to 29 years. Total,4.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 25 to 29 years. Females,4.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 25 to 29 years. Males,4.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 25 to 29 years. Total,4.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 6 to 11 years. Females,2.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 6 to 11 years. Males,2.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 6 to 11 years. Total,2.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. 65 years or over. Females,5.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. 65 years or over. Males,3.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. 65 years or over. Total,4.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. Less than 18 years. Females,2.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. Less than 18 years. Males,2.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. Less than 18 years. Total,2.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. Less than 6 years. Females,2.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. Less than 6 years. Males,2.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. Less than 6 years. Total,2.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. Total. Females,29.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. Total. Males,28.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. Total. Total,29.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 12 to 17 years. Females,21.5,Percentage
