periodo,anio,trimestre,ambito,indicador,valor,unidad
2025,2025,,Unión Europea (27),Percentage. Above 60%. Total. Females,14.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. Total. Males,14.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. Total. Total,14.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 12 to 17 years. Females,24.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 12 to 17 years. Males,25.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 12 to 17 years. Total,25.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 19 years. Females,24.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 19 years. Males,24.7,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 19 years. Total,24.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 24 years. Females,24.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 24 years. Males,24.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 24 years. Total,24.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 29 years. Females,22.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 29 years. Males,23.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 15 to 29 years. Total,22.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 19 years. Females,24.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 19 years. Males,24.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 19 years. Total,24.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 24 years. Females,24.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 24 years. Males,24.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 24 years. Total,24.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 29 years. Females,22.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 29 years. Males,23.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 16 to 29 years. Total,22.7,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 18 to 64 years. Females,15.7,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 18 to 64 years. Males,15.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 18 to 64 years. Total,15.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 20 to 24 years. Females,24.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 20 to 24 years. Males,24.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 20 to 24 years. Total,24.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 20 to 29 years. Females,21.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 20 to 29 years. Males,22.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 20 to 29 years. Total,21.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 25 to 29 years. Females,17.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 25 to 29 years. Males,20.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 25 to 29 years. Total,19.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 6 to 11 years. Females,19.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 6 to 11 years. Males,18.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. From 6 to 11 years. Total,19.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. 65 years or over. Females,6.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. 65 years or over. Males,4.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. 65 years or over. Total,5.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Above 60%. Less than 18 years. Females,20.7,Percentage
