periodo,anio,trimestre,ambito,indicador,valor,unidad
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",102.2,"Index, 2021=100"
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",0.6,Percentage change compared to same period in previous year
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",101.4,"Index, 2021=100"
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Seasonally and calendar adjusted data. Index, 2021=100",101.4,"Index, 2021=100"
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Seasonally and calendar adjusted data. Percentage change on previous period",1.0,Percentage change on previous period
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",107.8,"Index, 2021=100"
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",0.7,Percentage change compared to same period in previous year
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Construction. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",106.8,"Index, 2021=100"
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Construction. Seasonally and calendar adjusted data. Index, 2021=100",104.8,"Index, 2021=100"
2026-Q2,2026,Q2,Unión Europea (27),Production (volume). Construction. Seasonally and calendar adjusted data. Percentage change on previous period,1.4,Percentage change on previous period
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Construction of buildings. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",94.9,"Index, 2021=100"
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Construction of buildings. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-5.5,Percentage change compared to same period in previous year
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Construction of buildings. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",94.1,"Index, 2021=100"
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Construction of buildings. Seasonally and calendar adjusted data. Index, 2021=100",91.5,"Index, 2021=100"
2026-Q2,2026,Q2,Unión Europea (27),Production (volume). Construction of buildings. Seasonally and calendar adjusted data. Percentage change on previous period,0.8,Percentage change on previous period
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Civil engineering. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",123.0,"Index, 2021=100"
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Civil engineering. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",2.6,Percentage change compared to same period in previous year
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Civil engineering. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",122.0,"Index, 2021=100"
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Civil engineering. Seasonally and calendar adjusted data. Index, 2021=100",118.1,"Index, 2021=100"
2026-Q2,2026,Q2,Unión Europea (27),Production (volume). Civil engineering. Seasonally and calendar adjusted data. Percentage change on previous period,4.1,Percentage change on previous period
2026-Q2,2026,Q2,Unión Europea (27),"Production (volume). Specialised construction activities. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",106.7,"Index, 2021=100"
