Año;Área;Total;Hasta 30 m2;30-45 m2;46-60 m2;61-75 m2;76-90 m2;91-105 m2;106-120 m2;121-150 m2;151-180 m2;Más de 180 m2;No Consta
2021;Municipio 28131;9.927;150;798;1.590;2.229;1.470;897;732;810;438;726;78
2021;Distrito 2813101;7.695;108;546;1.212;1.536;1.221;756;603;699;375;576;63
2021;Distrito 2813101;2.229;42;252;381;693;252;141;132;111;60;153;15
2021;Sección 2813101001;1.434;45;237;441;267;177;111;54;42;24;36;3
2021;Sección 2813101002;1.407;18;150;180;306;132;123;105;90;45;219;36
2021;Sección 2813101003;1.173;15;90;333;363;195;93;33;15;18;15;3
2021;Sección 2813101004;888;24;21;75;99;159;162;75;159;69;42;9
2021;Sección 2813101005;804;9;36;84;192;162;102;84;45;36;51;6
2021;Sección 2813101006;1.146;0;3;48;303;330;33;57;84;135;147;0
2021;Sección 2813101007;843;0;6;51;3;66;129;195;267;54;63;6
2021;Sección 2813102001;942;30;177;189;210;93;45;33;57;36;66;12
2021;Sección 2813102002;1.290;12;78;192;480;162;96;99;54;27;84;3
