Año;Superficie;Total;Hasta 30 m2;30-45 m2;46-60 m2;61-75 m2;76-90 m2;91-105 m2;106-120 m2;121-150 m2;151-180 m2;Más de 180 m2;No Consta
2021;Municipio 28131;41,34;50,59;49,05;46,21;44,38;37,99;35,09;32,58;33,17;35,89;46,27;49,23
2021;Distrito 2813101;40,16;53,12;51,18;47,18;44,25;36,32;32,53;31,11;30,61;32,88;45,00;52,98
2021;Distrito 2813102;45,44;44,07;44,49;43,10;44,67;46,38;48,86;39,64;49,48;54,08;51,06;22,00
2021;Sección 2813101001;54,45;72,06;57,55;53,18;49,56;50,85;54,36;52,40;64,37;51,65;79,91;74,50
2021;Sección 2813101002;56,66;40,84;51,19;54,16;57,77;52,83;53,05;55,00;58,69;79,85;61,48;62,50
2021;Sección 2813101003;36,61;45,57;38,29;42,51;34,04;29,73;24,67;36,12;63,59;58,91;61,90;14,50
2021;Sección 2813101004;31,39;35,52;38,02;51,81;50,47;32,30;18,40;24,37;26,19;24,93;28,31;63,75
2021;Sección 2813101005;36,41;42,00;56,17;37,99;40,89;34,07;25,96;24,74;25,33;36,83;57,89;45,93
2021;Sección 2813101006;29,49;0,00;44,50;40,03;38,51;31,70;28,18;25,36;18,03;16,28;22,80;0,00
2021;Sección 2813101007;21,32;0,00;20,75;16,81;17,83;21,62;24,69;19,06;21,42;26,55;20,24;24,50
2021;Sección 2813102001;48,89;37,28;45,45;47,91;42,34;49,09;67,66;70,03;49,17;61,09;58,39;14,50
2021;Sección 2813102002;42,93;59,23;42,34;38,39;45,70;44,87;40,53;29,07;49,80;45,57;44,99;29,50
