Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
2004;Valor de las transacciones de suelo urbano;Otros;;;4277240.1;Miles euros;
2004;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;3013905.2;Miles euros;
2004;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;1263334.9;Miles euros;
2004;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;6475.4;Miles m2;
2004;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;4474.5;Miles m2;
2004;Superficie de las transacciones de suelo urbano;Otros;;;10949.9;Miles m2;
2004;Transacciones de suelo urbano;Otros;;;6264;Número;
2004;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;3044;Número;
2004;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;3220;Número;
2005;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;2765179.0;Miles euros;
2005;Valor de las transacciones de suelo urbano;Otros;;;3825518.8;Miles euros;
2005;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;1060339.8;Miles euros;
2005;Superficie de las transacciones de suelo urbano;Otros;;;9325.2;Miles m2;
2005;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;5997.0;Miles m2;
2005;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;3328.2;Miles m2;
2005;Transacciones de suelo urbano;Otros;;;4848;Número;
2005;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;2208;Número;
2005;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;2640;Número;
2006;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;1770985.7;Miles euros;
2006;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;852768.2;Miles euros;
2006;Valor de las transacciones de suelo urbano;Otros;;;2623753.9;Miles euros;
2006;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;2812.0;Miles m2;
2006;Superficie de las transacciones de suelo urbano;Otros;;;6191.9;Miles m2;
2006;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;3379.9;Miles m2;
2006;Transacciones de suelo urbano;Otros;;;2874;Número;
2006;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;1493;Número;
2006;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1381;Número;
2007;Valor de las transacciones de suelo urbano;Otros;;;3447825.6;Miles euros;
2007;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;1435212.0;Miles euros;
2007;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;2012613.6;Miles euros;
2007;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;3693.1;Miles m2;
2007;Superficie de las transacciones de suelo urbano;Otros;;;5823.8;Miles m2;
2007;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;2130.6;Miles m2;
2007;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;1286;Número;
2007;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1013;Número;
2007;Transacciones de suelo urbano;Otros;;;2299;Número;
2008;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;1261915.0;Miles euros;
2008;Valor de las transacciones de suelo urbano;Otros;;;2291917.6;Miles euros;
2008;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;1030002.6;Miles euros;
2008;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;2018.3;Miles m2;
2008;Superficie de las transacciones de suelo urbano;Otros;;;4129.2;Miles m2;
2008;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;2110.8;Miles m2;
2008;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;607;Número;
2008;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;962;Número;
2008;Transacciones de suelo urbano;Otros;;;1569;Número;
2009;Valor de las transacciones de suelo urbano;Otros;;;2028293.7;Miles euros;
2009;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;507028.8;Miles euros;
2009;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;1521264.9;Miles euros;
2009;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;799.9;Miles m2;
2009;Superficie de las transacciones de suelo urbano;Otros;;;3824.6;Miles m2;
2009;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;3024.7;Miles m2;
2009;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;1009;Número;
2009;Transacciones de suelo urbano;Otros;;;1436;Número;
2009;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;427;Número;
2010;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;439016.3;Miles euros;
2010;Valor de las transacciones de suelo urbano;Otros;;;816776.6;Miles euros;
2010;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;377760.3;Miles euros;
2010;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;1703.5;Miles m2;
2010;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;976.1;Miles m2;
2010;Superficie de las transacciones de suelo urbano;Otros;;;2679.6;Miles m2;
2010;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;1018;Número;
2010;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;296;Número;
2010;Transacciones de suelo urbano;Otros;;;1314;Número;
2011;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;150998.7;Miles euros;
2011;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;582456.1;Miles euros;
2011;Valor de las transacciones de suelo urbano;Otros;;;733454.8;Miles euros;
2011;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1486.9;Miles m2;
2011;Superficie de las transacciones de suelo urbano;Otros;;;2476.9;Miles m2;
2011;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;990.0;Miles m2;
2011;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;443;Número;
2011;Transacciones de suelo urbano;Otros;;;1082;Número;
2011;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;639;Número;
2012;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;369677.6;Miles euros;
2012;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;75801.6;Miles euros;
2012;Valor de las transacciones de suelo urbano;Otros;;;445479.3;Miles euros;
2012;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;774.6;Miles m2;
2012;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;751.8;Miles m2;
2012;Superficie de las transacciones de suelo urbano;Otros;;;1526.4;Miles m2;
2012;Transacciones de suelo urbano;Otros;;;1086;Número;
2012;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;585;Número;
2012;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;501;Número;
2013;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;342368.9;Miles euros;
